CN,NN,Rate Constants
c2ccc(c1ccccn1)cc2,c2ccc(c1ccccn1)nc2,0.237783296
Cc2ccc(c1ccc(F)cc1F)nc2,c2ccc(c1ccccn1)nc2,0.36897408
Cc2ccc(c1ccccc1)nc2,c2ccc(c1ccccn1)nc2,0.764303451
c2ccc(n1cccn1)cc2,c2ccc(c1ccccn1)nc2,0.764303451
c1ccc3c(c1)ccc2cccnc23,c2ccc(c1ccccn1)nc2,0.823096024
Cc3ccc(c2ccc(c1ccccc1)cc2)nc3,c2ccc(c1ccccn1)nc2,0.764303451
Cc2ccc(c1ccc(F)cc1)nc2,c2ccc(c1ccccn1)nc2,0.563170964
c3ccc(c2nc1ccccc1s2)cc3,c2ccc(c1ccccn1)nc2,1.070024832
c3ccc(c2nc1ccccc1o2)cc3,c2ccc(c1ccccn1)nc2,0.764303451
Cc3ccc(c2nc1ccccc1o2)cc3,c2ccc(c1ccccn1)nc2,0.428009933
COc3ccc(c2nc1ccccc1s2)cc3,c2ccc(c1ccccn1)nc2,1.33753104
COc3ccc(c2nc1ccccc1o2)cc3,c2ccc(c1ccccn1)nc2,0.59445824
Fc3ccc(c2nc1ccccc1o2)cc3,c2ccc(c1ccccn1)nc2,0.274365341
Clc3ccc(c2nc1ccccc1s2)cc3,c2ccc(c1ccccn1)nc2,0.823096024
Clc3ccc(c2nc1ccccc1o2)cc3,c2ccc(c1ccccn1)nc2,0.089168736
Cc2ccc(c1ccc(Cl)cc1)nc2,c2ccc(c1ccccn1)nc2,0.89168736
FC(F)(F)c3ccc(c2nc1ccccc1s2)cc3,c2ccc(c1ccccn1)nc2,0.713349888
FC(F)(F)c3ccc(c2nc1ccccc1o2)cc3,c2ccc(c1ccccn1)nc2,0.486374924
Cc2ccc(c1cccc(C#N)c1)nc2,c2ccc(c1ccccn1)nc2,0.356674944
COc2cccc(c1ccc(C)cn1)c2,c2ccc(c1ccccn1)nc2,1.07E-05
Cc2ccc(c1ccc(S(C)(=O)=O)cc1)nc2,c2ccc(c1ccccn1)nc2,1.070024832
Cc2ccc(c1ccc(OC(F)(F)F)cc1)nc2,c2ccc(c1ccccn1)nc2,0.535012416
Cc3ccc(c2ccc1ccccc1c2)nc3,c2ccc(c1ccccn1)nc2,0.66876552
Cc2ccc(c1ccc(C)cn1)cc2,c2ccc(c1ccccn1)nc2,0.66876552
Cc4ccc(c3ccc(N(c1ccccc1)c2ccccc2)cc3)nc4,c2ccc(c1ccccn1)nc2,1.07E-05
c4ccc(c3ccc(c2cc(c1ccccc1)ccn2)cc3)cc4,c2ccc(c1ccccn1)nc2,1.528606903
Fc2ccc(c1ccccn1)cc2,c2ccc(c1ccccn1)nc2,0.535012416
Cc2ccc(c1cccc(F)c1)nc2,c2ccc(c1ccccn1)nc2,0.764303451
Cc2ccc(c1ccccc1F)nc2,c2ccc(c1ccccn1)nc2,0.89168736
Cc2ccc(c1ccc(F)c(C(F)(F)F)c1)nc2,c2ccc(c1ccccn1)nc2,0.33438276
Cc2ccc(c1cccc(Cl)c1)nc2,c2ccc(c1ccccn1)nc2,1.070024832
c2ccc(Cc1ccccn1)cc2,c2ccc(c1ccccn1)nc2,0.59445824
Cc2ccc(c1ccc(C#N)cc1)nc2,c2ccc(c1ccccn1)nc2,0.713349888
CCc2ccc(c1ccccc1)nc2,c2ccc(c1ccccn1)nc2,1.070024832
Cc2cnc(c1ccccc1)cc2c3ccccc3,c2ccc(c1ccccn1)nc2,0.823096024
Fc3ccc(c2cc(c1ccccc1)ccn2)cc3,c2ccc(c1ccccn1)nc2,0.823096024
CCc2ccc(c1ccc(Cl)cc1)nc2,c2ccc(c1ccccn1)nc2,0.89168736
Clc3ccc(c2cc(c1ccccc1)ccn2)cc3,c2ccc(c1ccccn1)nc2,1.070024832
c4ccc(c3ccnc(c2ccc(N1CCCC1)cc2)c3)cc4,c2ccc(c1ccccn1)nc2,0.428009933
