seed,maximum observed yield
670487,2.675062079
116739,2.675062079
26225,1.78337472
777572,2.140049664
288389,1.78337472
256787,1.78337472
234053,2.140049664
146316,2.140049664
772246,1.78337472
107473,2.140049664
709570,2.140049664
776646,2.140049664
935518,1.528606903
571858,2.140049664
91161,1.78337472
619176,2.140049664
442417,1.78337472
33326,2.140049664
31244,2.675062079
98246,2.140049664
229258,2.140049664
243962,2.675062079
529903,2.140049664
631262,1.78337472
27824,2.140049664
588508,2.675062079
208496,1.78337472
750800,2.140049664
681453,2.140049664
735392,2.675062079
571412,2.140049664
439898,2.140049664
231148,1.78337472
471029,2.140049664
617889,1.78337472
291704,1.78337472
848749,1.78337472
911527,2.140049664
6814,1.78337472
795667,1.78337472
844962,2.140049664
167414,2.675062079
732052,1.33753104
443143,2.140049664
356778,1.528606903
291369,2.675062079
163032,2.140049664
225772,2.675062079
800581,1.78337472
352944,1.78337472
