Electrophile,Nucleophile,Catalyst,Base,MISER Area Count
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)c4cc(C(C)C)c(c1ccccc1P(C2CCCCC2)C3CCCCC3)c(C(C)C)c4,C2CCC1=NCCCN1CC2,243
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)c4cc(C(C)C)c(c1ccccc1P(C2CCCCC2)C3CCCCC3)c(C(C)C)c4,CN1CCCN2CCCN=C12,246
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)c4cc(C(C)C)c(c1ccccc1P(C2CCCCC2)C3CCCCC3)c(C(C)C)c4,CN(C)/C(=N\C(C)(C)C)N(C)C,290
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)c4cc(C(C)C)c(c1ccccc1P(C2CCCCC2)C3CCCCC3)c(C(C)C)c4,CCN(CC)P1(=NC(C)(C)C)NCCCN1C,320
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)c4cc(C(C)C)c(c1ccccc1P(C2CCCCC2)C3CCCCC3)c(C(C)C)c4,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,303
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)c4cc(C(C)C)c(c1ccccc1P(C2CCCCC2)C3CCCCC3)c(C(C)C)c4,CN(C)P(=NC(C)(C)CC(C)(C)C)(N(C)C)N(C)C,230
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)c4cc(C(C)C)c(c1ccccc1P(C2CCCCC2)C3CCCCC3)c(C(C)C)c4,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,242
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)c4cc(C(C)C)c(c1ccccc1P(C2CCCCC2)C3CCCCC3)c(C(C)C)c4,CN(C)P(=NC(C)(C)C)(N=P(N(C)C)(N(C)C)N(C)C)N(C)C,282
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)c2cc(C(C)C)c(c1ccccc1P(C(C)(C)C)C(C)(C)C)c(C(C)C)c2,C2CCC1=NCCCN1CC2,300
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)c2cc(C(C)C)c(c1ccccc1P(C(C)(C)C)C(C)(C)C)c(C(C)C)c2,CN1CCCN2CCCN=C12,4168
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)c2cc(C(C)C)c(c1ccccc1P(C(C)(C)C)C(C)(C)C)c(C(C)C)c2,CN(C)/C(=N\C(C)(C)C)N(C)C,3498
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)c2cc(C(C)C)c(c1ccccc1P(C(C)(C)C)C(C)(C)C)c(C(C)C)c2,CCN(CC)P1(=NC(C)(C)C)NCCCN1C,797
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)c2cc(C(C)C)c(c1ccccc1P(C(C)(C)C)C(C)(C)C)c(C(C)C)c2,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1308
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)c2cc(C(C)C)c(c1ccccc1P(C(C)(C)C)C(C)(C)C)c(C(C)C)c2,CN(C)P(=NC(C)(C)CC(C)(C)C)(N(C)C)N(C)C,471
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)c2cc(C(C)C)c(c1ccccc1P(C(C)(C)C)C(C)(C)C)c(C(C)C)c2,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,415
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)c2cc(C(C)C)c(c1ccccc1P(C(C)(C)C)C(C)(C)C)c(C(C)C)c2,CN(C)P(=NC(C)(C)C)(N=P(N(C)C)(N(C)C)N(C)C)N(C)C,1830
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,C2CCC1=NCCCN1CC2,435
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CN1CCCN2CCCN=C12,496
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CN(C)/C(=N\C(C)(C)C)N(C)C,413
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CCN(CC)P1(=NC(C)(C)C)NCCCN1C,510
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,380
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CN(C)P(=NC(C)(C)CC(C)(C)C)(N(C)C)N(C)C,415
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,289
