seed,maximum observed yield
670487,757.0
116739,9651.0
26225,833.0
777572,14394.0
288389,1156.0
256787,6096.0
234053,6096.0
146316,1156.0
772246,14394.0
107473,10238.0
709570,4168.0
776646,14394.0
935518,14394.0
571858,1026.0
91161,726.0
619176,726.0
442417,1428.0
33326,4396.0
31244,6096.0
98246,14394.0
229258,14394.0
243962,726.0
529903,1121.0
631262,14394.0
27824,6096.0
588508,14394.0
208496,9651.0
750800,857.0
681453,10238.0
735392,1156.0
571412,2699.0
439898,14394.0
231148,19040.0
471029,1156.0
617889,14394.0
291704,10238.0
848749,9651.0
911527,1156.0
6814,14394.0
795667,14394.0
844962,14394.0
167414,6096.0
732052,19040.0
443143,2847.0
356778,1121.0
291369,4882.0
163032,14394.0
225772,1541.0
800581,6096.0
352944,6096.0
