seed,maximum observed yield
670487,10238.0
116739,1541.0
26225,2847.0
777572,6096.0
288389,2002.0
256787,4396.0
234053,1211.0
146316,14394.0
772246,19040.0
107473,4168.0
709570,1121.0
776646,14394.0
935518,9651.0
571858,14394.0
91161,1121.0
619176,6096.0
442417,19040.0
33326,1541.0
31244,4083.0
98246,14394.0
229258,1156.0
243962,6096.0
529903,2002.0
631262,1485.0
27824,6096.0
588508,4680.0
208496,19040.0
750800,924.0
681453,4396.0
735392,14394.0
571412,10238.0
439898,1541.0
231148,14394.0
471029,14394.0
617889,2847.0
291704,9651.0
848749,14394.0
911527,4168.0
6814,14394.0
795667,10238.0
844962,4935.0
167414,19040.0
732052,1121.0
443143,14394.0
356778,4935.0
291369,6096.0
163032,2699.0
225772,6096.0
800581,6096.0
352944,2699.0
