seed,maximum observed yield
670487,3295.0
116739,19040.0
26225,4573.0
777572,3301.0
288389,1308.0
256787,4276.0
234053,753.0
146316,4883.0
772246,978.0
107473,1794.0
709570,3059.0
776646,5716.0
935518,14394.0
571858,1428.0
91161,4573.0
619176,4811.0
442417,730.0
33326,1039.0
31244,1026.0
98246,7781.0
229258,2492.0
243962,840.0
529903,2699.0
631262,496.0
27824,1521.0
588508,8663.0
208496,7781.0
750800,5607.0
681453,10238.0
735392,8354.0
571412,8663.0
439898,5479.0
231148,2415.0
471029,4413.0
617889,1136.0
291704,5704.0
848749,1414.0
911527,1449.0
6814,3059.0
795667,1638.0
844962,5837.0
167414,4396.0
732052,6509.0
443143,5704.0
356778,8663.0
291369,796.0
163032,1899.0
225772,4168.0
800581,825.0
352944,4413.0
