seed,maximum observed yield
670487,10238.0
116739,9651.0
26225,8354.0
777572,6096.0
288389,14394.0
256787,14394.0
234053,10238.0
146316,10238.0
772246,10238.0
107473,14394.0
709570,14394.0
776646,14394.0
935518,10238.0
571858,14394.0
91161,9651.0
619176,14394.0
442417,19040.0
33326,6459.0
31244,9651.0
98246,14394.0
229258,19040.0
243962,6096.0
529903,6096.0
631262,14394.0
27824,6096.0
588508,14394.0
208496,6096.0
750800,14394.0
681453,6096.0
735392,6096.0
571412,1156.0
439898,6096.0
231148,14394.0
471029,14394.0
617889,14394.0
291704,19040.0
848749,19040.0
911527,6096.0
6814,19040.0
795667,9651.0
844962,19040.0
167414,14394.0
732052,10238.0
443143,10238.0
356778,1156.0
291369,14394.0
163032,9651.0
225772,6096.0
800581,10238.0
352944,14394.0
