seed,maximum observed yield
670487,10238.0
116739,6096.0
26225,9651.0
777572,6096.0
288389,19040.0
256787,14394.0
234053,19040.0
146316,4396.0
772246,14394.0
107473,14394.0
709570,19040.0
776646,9651.0
935518,8354.0
571858,6096.0
91161,14394.0
619176,14394.0
442417,14394.0
33326,14394.0
31244,6509.0
98246,19040.0
229258,10238.0
243962,14394.0
529903,14394.0
631262,6096.0
27824,6096.0
588508,14394.0
208496,14394.0
750800,8706.0
681453,6096.0
735392,14394.0
571412,10238.0
439898,6096.0
231148,2847.0
471029,14394.0
617889,14394.0
291704,6096.0
848749,19040.0
911527,19040.0
6814,7781.0
795667,14394.0
844962,19040.0
167414,19040.0
732052,19040.0
443143,6096.0
356778,19040.0
291369,6096.0
163032,2847.0
225772,14394.0
800581,10238.0
352944,14394.0
