seed,maximum observed yield
670487,2847.0
116739,4883.0
26225,4396.0
777572,5050.0
288389,5607.0
256787,4299.0
234053,4299.0
146316,6509.0
772246,8354.0
107473,5479.0
709570,5704.0
776646,3498.0
935518,1521.0
571858,14394.0
91161,2847.0
619176,5050.0
442417,1794.0
33326,5497.0
31244,4680.0
98246,1502.0
229258,2019.0
243962,8706.0
529903,5607.0
631262,6459.0
27824,4811.0
588508,4811.0
208496,10238.0
750800,8354.0
681453,8663.0
735392,4225.0
571412,2054.0
439898,5837.0
231148,4680.0
471029,2204.0
617889,5479.0
291704,8663.0
848749,7781.0
911527,7781.0
6814,6459.0
795667,5837.0
844962,4225.0
167414,4343.0
732052,4299.0
443143,2699.0
356778,3498.0
291369,6096.0
163032,6028.0
225772,4882.0
800581,6737.0
352944,3946.0
