seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,Mean,Min,Max
322619,85.89473594,2.014671714,1.707595349,10.75553549,35.28694368,2.405254053,10.43400006,1.707595349,35.28694368
785879,85.89473594,43.69560153,57.08877056,17.78386933,0,0,23.71364828,0,57.08877056
742512,85.89473594,79.45834404,37.40734019,47.29404915,17.200701,8.008432112,37.8737733,8.008432112,79.45834404
415750,86.59757822,8.546147234,0,13.95628888,31.26628393,66.1081674,23.97537749,0,66.1081674
385111,86.59757822,50.90618574,15.37805239,0.723968187,44.8781348,23.26106265,27.02948075,0.723968187,50.90618574
486112,94.50096737,46.64490818,0.252253584,70.05483344,0.381599662,0,23.46671897,0,70.05483344
643908,98.73132029,9.636653904,5.427048525,8.171441334,49.32093179,47.555818,24.02237871,5.427048525,49.32093179
544272,98.73132029,0,38.18576353,0.665064231,0,21.83853262,12.13787208,0,38.18576353
142528,98.73132029,21.23653704,64.52902546,79.44483195,19.78619625,36.35900481,44.2711191,19.78619625,79.44483195
635367,98.84920594,16.88486051,2.627491811,16.69067663,42.67624543,1.896990139,16.1552529,1.896990139,42.67624543
585226,98.84920594,15.92909866,82.71053034,0.737631078,0.705225291,7.343376414,21.48517236,0.705225291,82.71053034
192176,98.84920594,3.498335753,6.408110436,33.74087377,14.36693621,37.56535564,19.11592236,3.498335753,37.56535564
933937,98.84920594,13.89350209,30.36311877,9.085602443,50.10834683,28.7617291,26.44245985,9.085602443,50.10834683
178132,98.84920594,2.565604497,42.12607272,65.94190973,0,38.52322666,29.83136272,0,65.94190973
412167,98.84920594,40.27113975,34.88973455,2.018550488,5.008760546,34.48220577,23.33407822,2.018550488,40.27113975
419250,98.84920594,74.20453315,34.2854552,16.2490011,32.00160024,2.241763673,31.79647067,2.241763673,74.20453315
335851,99.03446213,54.29333472,1.249008464,53.85457225,35.04870846,43.31814591,37.55275396,1.249008464,54.29333472
390653,99.03446213,2.689766175,34.65614692,33.03335054,11.59336493,0.649110542,16.52434782,0.649110542,34.65614692
527462,99.03446213,35.72058232,13.524053,36.58798902,0,18.5257144,20.87166775,0,36.58798902
327514,99.03446213,65.19833527,4.57865157,27.25583167,2.042704931,58.32558385,31.48022146,2.042704931,65.19833527
784512,99.03446213,57.7580975,73.64322424,52.5635645,9.853260903,6.262930072,40.01621544,6.262930072,73.64322424
65419,99.03446213,74.31911492,83.49602396,18.5257144,90.22793001,50.20384511,63.35452568,18.5257144,90.22793001
995757,99.03446213,41.29698409,81.63511603,64.23525691,16.04854773,10.4860128,42.74038351,10.4860128,81.63511603
434638,99.61910732,33.66516566,84.81458604,63.14360639,3.378377543,3.510094374,37.702366,3.378377543,84.81458604
785378,99.61910732,12.57060724,53.60304102,79.19714754,6.877576478,63.06191521,43.0620575,6.877576478,79.19714754
707952,99.61910732,39.56647024,33.30841773,5.449924218,9.80291595,58.46064001,29.31767363,5.449924218,58.46064001
782071,99.61910732,0.712699399,5.605744575,14.46827704,3.606676847,0,4.878679572,0,14.46827704
714473,99.61910732,10.68115857,41.66866973,40.09723237,63.25759385,14.62829911,34.06659073,10.68115857,63.25759385
893862,99.61910732,50.28049867,31.41749034,16.72117045,4.191040534,44.78270058,29.47858011,4.191040534,50.28049867
354879,99.61910732,2.443106533,44.56045142,6.026719466,75.55480498,1.729864191,26.06298932,1.729864191,75.55480498
736262,99.61910732,34.05189508,75.8997955,29.97543001,68.84449525,74.81544975,56.71741312,29.97543001,75.8997955
900372,99.61910732,41.17834608,2.819747326,6.604799576,63.44404456,0.682447226,22.94587695,0.682447226,63.44404456
717414,99.61910732,0,39.21368937,62.99169098,0.572188732,55.96628365,31.74877055,0,62.99169098
712933,99.99999,41.26452613,0.899554125,39.03126202,0.745430861,1.785587557,16.74527214,0.745430861,41.26452613
873477,99.99999,15.16491224,24.62070452,0.546829898,40.59375347,0,16.18524003,0,40.59375347
87483,99.99999,62.53871196,31.41749034,16.1585109,55.19349187,4.275083316,33.91665768,4.275083316,62.53871196
560474,99.99999,8.876631997,33.62905648,8.912186757,56.99401844,66.86881109,35.05614095,8.876631997,66.86881109
277985,99.99999,7.488530825,68.44214129,51.23480839,0,4.67315366,26.36772683,0,68.44214129
923998,99.99999,0,40.48243437,47.95299992,80.9780499,99.99999,53.88269484,0,99.99999
671076,99.99999,22.894141,87.75322874,50.63065751,14.36737015,53.14523882,45.75812724,14.36737015,87.75322874
598554,99.99999,0,53.91867484,46.59177534,34.96324083,85.26909551,44.1485573,0,85.26909551
283739,99.99999,2.720923971,0,32.36655355,3.135484875,1.036456102,7.8518837,0,32.36655355
475170,99.99999,45.90521481,2.658633939,0.593797719,19.27582448,80.52782377,29.79225894,0.593797719,80.52782377
768803,99.99999,3.964447459,2.373234972,49.15467449,26.51530021,60.5253289,28.50659721,2.373234972,60.5253289
664592,99.99999,0,81.15116736,0,92.89765441,0,34.80976435,0,92.89765441
495501,99.99999,54.65489395,21.94834142,20.89901676,49.39865649,2.118660091,29.80391374,2.118660091,54.65489395
368178,99.99999,85.4419715,25.90827653,22.49487977,5.492602222,14.17510686,30.70256738,5.492602222,85.4419715
937677,99.99999,80.10225068,51.85571731,0,65.92742304,0,39.57707821,0,80.10225068
715720,99.99999,54.9141799,99.99999,16.97838607,11.68964545,4.992379236,37.71491613,4.992379236,99.99999
308036,99.99999,3.20619178,61.87528527,30.05876834,0.297246729,70.56509529,33.20051748,0.297246729,70.56509529
