seed,maximum observed yield
868844,99.61910732
813433,99.99999
944072,99.61910732
190723,98.84920594
844089,99.61910732
924429,99.03446213
800421,95.38648822
365114,99.61910732
617769,98.17713445
220138,98.84920594
908041,99.03446213
887463,98.84920594
839905,98.84920594
52988,99.61910732
370877,97.56849953
449208,98.73132029
910069,99.99999
893279,97.56849953
886750,99.99999
314119,99.99999
818046,91.52862329
247183,98.84920594
741761,98.84920594
747602,99.03446213
374467,99.61910732
657234,99.61910732
863753,98.17713445
644110,98.17713445
653084,98.84920594
333946,99.99999
247317,95.75260589
73610,98.84920594
519158,99.61910732
336038,98.17713445
398292,99.61910732
34830,99.61910732
809083,99.99999
213690,98.84920594
479018,95.38648822
810532,99.99999
396982,95.38648822
115878,93.42111456
913596,98.73132029
792026,95.38648822
356454,99.61910732
821588,99.61910732
295275,99.61910732
500204,99.61910732
929637,99.03446213
506499,98.73132029
