seed,maximum observed yield
61695,94.54981251
306120,99.03446213
225147,99.99999
533619,94.87994774
756471,94.14846732
74715,89.12987666
514189,99.03446213
38081,99.99999
20077,98.84920594
370195,95.38648822
982085,99.99999
500912,98.84920594
715045,95.07020116
860730,98.84920594
767714,95.38648822
152872,98.84920594
314586,84.40416295
132949,88.16754027
539461,99.99999
34090,95.38648822
304927,86.59757822
910924,98.84920594
120492,94.15173815
188403,92.13719474
883927,99.99999
813002,94.15173815
8371,95.75260589
547087,98.73132029
834031,96.13228316
735662,99.99999
89353,96.13228316
709091,81.22830675
200926,98.84920594
66273,98.28722602
675152,99.99999
649750,92.11972779
314840,99.03446213
333280,99.03446213
591273,98.84920594
678441,80.58281911
722323,83.3036144
54570,95.12897845
620571,99.03446213
923377,99.03446213
734746,99.61910732
184475,83.3036144
764483,98.84920594
268161,97.94800557
769648,84.89551287
381504,98.84920594
