seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,Mean,Min,Max
675920,68.2481271,0.344428756,0,0.668792684,0,0.44794504,0.292233296,0,0.668792684
277911,82.71053034,0,0.552049908,0.668792684,0,0,0.244168518,0,0.668792684
711751,83.05466982,0,0,0.727174946,0.665471445,0.648980669,0.408325412,0,0.727174946
814666,90.99050642,0.597123544,0.860295656,0,0,0,0.29148384,0,0.860295656
870632,92.39124083,0,0.70766924,0.518126221,0,0,0.245159092,0,0.70766924
649249,92.90401218,0.121773863,0.689951869,0,0,0,0.162345146,0,0.689951869
421146,92.95670274,0.871820746,0.605197064,0.844427684,0,0,0.464289099,0,0.871820746
791985,93.42111456,0,0.230274449,0.695599064,0,0,0.185174703,0,0.695599064
982181,94.15173815,0,0,0.638545637,0,0,0.127709127,0,0.638545637
207787,94.15173815,0,0,0.828206999,0,0,0.1656414,0,0.828206999
649523,94.50096737,0.924541619,0.597977578,0,0,0,0.304503839,0,0.924541619
226979,94.50096737,0,0.400015161,0.828206999,0,0,0.245644432,0,0.828206999
667813,94.54981251,0.337596865,0,0.855112472,0,0,0.238541867,0,0.855112472
867721,94.54981251,0.256451547,0.538585368,0.778234105,0,0,0.314654204,0,0.778234105
167021,94.54981251,0,0,0,0,0,0,0,0
201438,94.54981251,0.707254592,0,0.750246803,0,0,0.291500279,0,0.750246803
439348,94.54981251,0,0,0,0,0,0,0,0
472601,94.54981251,0,0,0,0,0,0,0,0
467372,95.75260589,0,0,0,0.710304987,0.723968187,0.286854635,0,0.723968187
139784,96.13228316,0.747631534,0.74784749,0.66547915,0.52608193,0.1532428,0.568056581,0.1532428,0.74784749
845014,96.59121826,0,0.830867403,0.467733508,0.471327258,0,0.353985634,0,0.830867403
425123,97.94800557,0.489044772,0,0,0,0.628858286,0.223580612,0,0.628858286
92134,98.17713445,0,0,0,0.747411772,0.553507484,0.260183851,0,0.747411772
720984,98.17713445,0,0,0.321740184,0.518126221,0,0.167973281,0,0.518126221
912956,98.17713445,0,0,0.689951869,0.868429678,0,0.311676309,0,0.868429678
388508,98.84920594,0,0.850358426,0,0,0,0.170071685,0,0.850358426
674736,98.84920594,0,0.745430861,0,0,0,0.149086172,0,0.745430861
142444,98.84920594,0,0.43718104,0,0,0,0.087436208,0,0.43718104
350537,98.84920594,0,0.698318685,0,0,0,0.139663737,0,0.698318685
598372,98.84920594,0,0.339942053,0.595872872,0.295056228,0,0.246174231,0,0.595872872
935695,98.84920594,0,0.698318685,0,0,0,0.139663737,0,0.698318685
244512,98.84920594,0,0.844427684,0,0,0,0.168885537,0,0.844427684
959266,98.84920594,0,0.638545637,0,0,0,0.127709127,0,0.638545637
398403,98.84920594,0,0.613157833,0,0.830867403,0,0.288805047,0,0.830867403
720082,99.03446213,0,0,0,0.256451547,0.788355769,0.208961463,0,0.788355769
430166,99.03446213,0.406585723,0,0.810171959,0.878081853,0,0.418967907,0,0.878081853
614882,99.03446213,0.389738186,0,0,0,0.52608193,0.183164023,0,0.52608193
9559,99.03446213,0,0,0.862512473,0,0.568210949,0.286144684,0,0.862512473
2314,99.03446213,0,0,0.337596865,0.330501293,0,0.133619632,0,0.337596865
358907,99.03446213,0,0,0.613157833,0,0.836644888,0.289960544,0,0.836644888
536351,99.03446213,0,0.836644888,0,0.64714493,0,0.296757964,0,0.836644888
836943,99.61910732,0,0,0,0.668792684,0,0.133758537,0,0.668792684
781408,99.61910732,0,0.296524645,0.701552228,0.593797719,0.712699399,0.460914798,0,0.712699399
418496,99.99999,0.707254592,0.330501293,0.723968187,0.489044772,0,0.450153769,0,0.723968187
867662,99.99999,0,0,0,0,0.655700656,0.131140131,0,0.655700656
15135,99.99999,0.400015161,0,0,0.878081853,0.862838268,0.428187056,0,0.878081853
153000,99.99999,0,0,0,0,0.432282788,0.086456558,0,0.432282788
901312,99.99999,0,0,0,0,0.620480408,0.124096082,0,0.620480408
647200,99.99999,0.256451547,0.602239969,0,0,0,0.171738303,0,0.602239969
611675,99.99999,0,0,0,0,0.841459123,0.168291825,0,0.841459123
