seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,yield 6,yield 7,yield 8,Mean,Min,Max
670349,69.38989345,0,0,0,0.605197064,0,0,0,0.390715033,0.124489012,0,0.605197064
685705,73.4448659,0,0.858974836,0,0.745430861,0,0.518126221,0,0.81239337,0.366865661,0,0.858974836
851411,74.23518284,0.377050084,0.489724505,0.027450906,0,0,0,0,0.646778821,0.19262554,0,0.646778821
434355,79.07623711,0,0,0,0,0,0,0.568210949,0.339942053,0.113519125,0,0.568210949
502681,81.29892199,0,0.74784749,0.426836265,0,0.609947969,0,0,0,0.223078966,0,0.74784749
745768,82.34937004,0,0,0.646778821,0,0,0.316193405,0.489044772,0,0.181502125,0,0.646778821
334506,82.63071562,0.705195152,0.426836265,0.70766924,0.319224301,0,0,0.518126221,0,0.334631397,0,0.70766924
16630,83.05466982,0,0,0,0,0,0,0.851812248,0.542497492,0.174288718,0,0.851812248
410024,83.14947865,0,0,0,0,0,0,0.39886034,0.438548426,0.104676096,0,0.438548426
910675,83.37705512,0.836644888,0.662349524,0,0,0.438548426,0,0,0.712699399,0.33128028,0,0.836644888
333798,84.5566149,0.381599662,0.43718104,0.609947969,0,0,0,0.256451547,0,0.210647527,0,0.609947969
884870,84.70172213,0,0.857255308,0.858974836,0,0.546829898,0,0.345789289,0,0.326106166,0,0.858974836
313048,84.70172213,0,0,0,0,0,0,0.801086523,0,0.100135815,0,0.801086523
419470,84.70172213,0,0,0.910655456,0,0,0.344428756,0,0,0.156885527,0,0.910655456
482453,84.70172213,0,0,0,0,0,0,0.43718104,0,0.05464763,0,0.43718104
68878,84.70172213,0,0,0,0,0,0,0.49264217,0,0.061580271,0,0.49264217
200368,85.53405964,0.860295656,0.426836265,0,0.70766924,0,0.665471445,0,0,0.332534076,0,0.860295656
612455,85.64532689,0.522267307,0.665471445,0.544984175,0,0.595872872,0,0.746156967,0,0.384344096,0,0.746156967
260303,85.89473594,0.438548426,0.927604534,0.701552228,0.544984175,0,0.319224301,0,0.646778821,0.447336561,0,0.927604534
382167,86.12188158,0,0.553317014,0,0.778234105,0.830867403,0,0,0.595872872,0.344786424,0,0.830867403
489650,86.19820374,0.553507484,0,0.665471445,0.275668441,0,0,0.707254592,0,0.275237745,0,0.707254592
827463,87.93113193,0.321740184,0.851812248,0,0.406585723,0,0.364667905,0.471327258,0,0.302016665,0,0.851812248
14144,88.72522624,0.597123544,0.230274449,0,0,0,0.884950948,0,0.49264217,0.275623889,0,0.884950948
338780,90.73131654,0.613157833,0,0.884950948,0,0,0,0.655700656,0,0.26922618,0,0.884950948
210509,90.73131654,0.316193405,0,0.319224301,0,0,0,0,0,0.079427213,0,0.319224301
256443,92.11972779,0,0.538585368,0,0,0.719285108,0,0,0.426836265,0.210588343,0,0.719285108
516856,92.25602815,0.544984175,0.39886034,0.43718104,0.489724505,0,0.419612341,0,0,0.2862953,0,0.544984175
128510,92.89765441,0,0,0.380918213,0,0,0.027450906,0.789038452,0,0.149675946,0,0.789038452
276452,92.90401218,0,0,0,0.871820746,0,0.72962294,0.662349524,0.705195152,0.371123545,0,0.871820746
534848,92.95670274,0,0.665471445,0,0,0,0,0.695599064,0,0.170133814,0,0.695599064
925480,93.74857618,0.638545637,0.602410789,0.836644888,0,0,0.828206999,0,0,0.363226039,0,0.836644888
951011,94.29690562,0,0.572188732,0,0,0,0,0,0.620480408,0.149083643,0,0.620480408
903687,94.87994774,0.406585723,0,0.39886034,0.432282788,0.57693322,0,0,0,0.226832759,0,0.57693322
493326,95.38648822,0.381599662,0.448085745,0,0.648980669,0,0,0,0,0.18483326,0,0.648980669
435505,95.38648822,0,0.337596865,0,0,0.862512473,0,0,0,0.150013667,0,0.862512473
835609,95.75260589,0,0.39886034,0,0,0,0.538585368,0,0,0.117180714,0,0.538585368
2077,96.13228316,0,0,0,0,0,0.649110542,0.705225291,0,0.169291979,0,0.705225291
296271,97.94800557,0,0.613157833,0,0.381599662,0,0.44794504,0.646778821,0.1532428,0.28034052,0,0.646778821
984297,97.94800557,0,0.338169234,0,0,0,0.354218547,0.695297498,0,0.17346066,0,0.695297498
842894,98.28722602,0.546791384,0.698318685,0,0.727174946,0,0,0,0,0.246535627,0,0.727174946
649761,98.28722602,0,0,0.399824711,0.868429678,0.74784749,0,0,0,0.252012735,0,0.868429678
776184,98.28722602,0.1532428,0,0.66547915,0,0,0.593797719,0,0,0.176564959,0,0.66547915
601963,98.28722602,0,0.850358426,0.375286042,0.884950948,0,0,0,0,0.263824427,0,0.884950948
610876,98.84920594,0,0,0,0,0,0.737631078,0.52608193,0,0.157964126,0,0.737631078
288285,99.03446213,0,0,0,0,0,0.884950948,0.858974836,0,0.217990723,0,0.884950948
404240,99.03446213,0,0,0.566845941,0.850358426,0.778234105,0,0.542497492,0.43718104,0.396889626,0,0.850358426
552095,99.61910732,0.316193405,0,0.35921569,0.230274449,0.568210949,0,0,0,0.184236812,0,0.568210949
676804,99.99999,0.492662711,0,0.602410789,0.860295656,0,0,0,0,0.244421145,0,0.860295656
858756,99.99999,0,0.489724505,0.1532428,0,0.810171959,0,0,0,0.181642408,0,0.810171959
278050,99.99999,0.542497492,0,0,0.390715033,0,0.788355769,0,0.328567973,0.256267033,0,0.788355769
