seed,maximum observed yield
13367,100.0
73132,99.81
719117,100.0
434941,99.22
600577,100.0
216514,96.64
748552,99.81
974504,99.81
983638,99.98
674315,99.81
56327,99.22
261400,99.81
839473,99.98
522578,99.81
695072,99.98
663639,99.98
326018,100.0
950838,99.98
718828,99.98
935489,99.22
675364,88.41
90863,100.0
146182,99.81
714622,99.98
950707,100.0
507483,99.98
960532,88.41
8860,78.6
219262,78.44
567916,99.22
344701,99.22
454623,80.86
609540,86.14
38511,99.98
907469,99.98
837010,99.22
571817,99.81
422068,99.98
477330,99.81
745770,99.81
204631,100.0
427081,99.81
743185,84.67
997085,99.98
83607,99.98
504631,99.98
110254,99.98
281194,99.81
162178,99.98
785203,99.98
