seed,maximum observed yield
79349,100.0
677018,99.98
49144,100.0
165579,100.0
460899,87.59
714650,79.1
296123,96.64
81906,99.81
637030,89.17
330241,95.48
406671,88.89
33409,100.0
692129,98.38
808016,100.0
236548,57.68
596448,99.81
113853,89.17
38830,92.03
918300,89.17
598844,89.71
673745,88.41
581196,88.41
483964,99.98
307347,92.03
383220,88.41
592994,88.41
200001,92.19
202695,88.41
296131,99.98
977575,99.22
302369,99.81
347237,99.81
404946,88.41
397031,99.98
730412,99.98
215319,66.49
110069,99.81
940058,87.83
455908,88.89
757166,99.98
573577,80.61
731566,89.14
214622,99.98
151479,99.81
3118,98.49
98237,75.39
768278,99.98
566459,99.98
379837,99.81
699755,99.98
