seed,maximum observed yield
66147,100.0
844906,100.0
22391,100.0
368603,80.65
710865,100.0
321820,99.98
80220,99.81
427756,100.0
208670,99.81
828977,100.0
739881,100.0
757973,100.0
76376,100.0
738091,99.81
472165,100.0
215564,99.98
232514,100.0
610396,99.98
854743,100.0
396073,100.0
63236,99.81
165052,100.0
592346,100.0
512537,100.0
464393,100.0
281385,100.0
73384,100.0
351443,100.0
987186,100.0
734130,100.0
255923,100.0
149362,100.0
113561,100.0
574301,100.0
735542,100.0
621865,100.0
556717,99.81
365064,100.0
554604,100.0
645371,100.0
142589,99.81
281526,100.0
240036,100.0
979041,100.0
843588,99.98
975640,100.0
879093,100.0
504838,99.98
661734,100.0
8499,100.0
