seed,maximum observed yield
340154,99.81
841422,99.81
758795,99.81
387848,99.81
990439,99.81
207678,99.81
999844,99.81
807013,99.81
951545,99.81
973933,99.81
221333,99.81
525875,99.81
702388,99.81
961588,99.81
531264,99.81
847326,99.81
830171,99.81
204847,99.81
295094,99.81
139797,99.81
993173,99.81
919633,99.81
761948,99.81
858957,99.81
564751,99.81
671290,99.81
247358,99.81
523158,99.81
217626,99.81
180172,99.81
768073,99.81
380814,99.81
894190,99.81
293823,99.81
951849,99.81
805346,99.81
87791,99.81
721183,99.81
571882,99.81
863774,99.81
202640,99.81
792660,99.81
533655,99.81
925736,99.81
679770,99.81
233566,99.81
630560,99.81
623429,99.81
196441,99.81
726728,99.81
