seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,yield 6,yield 7,yield 8,yield 9,yield 10,Mean,Min,Max
775844,96.04,87,10.67,34.96,22.09,82.32,18.24,80.73,63.77,13.89,14.61,42.828,10.67,87
296210,96.74,83.6,91.76,17.09,92.82,39.4,4.94,50.66,43.6,95.78,31.28,55.093,4.94,95.78
358261,97.09,71.45,17.82,53.9,29.96,24.55,20.35,85.9,96.16,22.09,15.08,43.726,15.08,96.16
674564,97.45,70.63,11.91,33.22,15.59,9.19,71.6,71.16,1.2,12.49,34.84,33.183,1.2,71.6
770857,97.83,79.27,84.9,60.68,33.45,69.6,31.58,19.9,39.5,82.29,19.71,52.088,19.71,84.9
508067,98.42,21.01,96.25,56.96,87.35,85.95,82.88,86.12,74.41,96.32,33.02,72.027,21.01,96.32
52200,98.42,15.43,15.45,16.07,70.55,19.51,80.23,17.31,19.46,17.02,82.62,35.365,15.43,82.62
601167,98.53,24.68,73.78,52.45,89.74,1.95,96.49,51.25,67.14,46.34,31.35,53.517,1.95,96.49
122737,98.53,95.95,36.05,71.09,10.52,38.79,18.98,37.88,39.79,12.52,55.38,41.695,10.52,95.95
473129,98.53,64.98,97.32,12.72,13.24,14.5,76.61,37.16,24.51,21.38,12.2,37.462,12.2,97.32
323845,98.69,72.51,43.93,44.35,82.5,39.5,19.28,81.84,57.92,18.15,16.56,47.654,16.56,82.5
941931,98.69,58.01,53.64,7.68,2.58,65.64,73.24,36.68,56.67,21.79,10.08,38.601,2.58,73.24
629237,98.69,62.77,11.45,7.86,23.29,90.33,62.03,38.96,17.17,6.86,58.94,37.966,6.86,90.33
452027,98.69,92.42,76.58,91.26,15.43,86.82,72.38,32.29,11.95,52.74,95.49,62.736,11.95,95.49
18007,98.69,17.77,92.01,36.03,26.74,0,80.59,23.34,57.89,88.24,23.73,44.634,0,92.01
556183,98.69,75.46,19.52,16.04,55.07,60.68,62.57,37.34,12.03,22.24,8.15,36.91,8.15,75.46
232773,98.69,53.28,15.43,71.22,56.14,24.71,83.83,17.18,20.34,23.78,62.9,42.881,15.43,83.83
548592,98.69,53.28,79.89,25.46,70.55,93.06,87.87,78.9,95.06,65.8,10.88,66.075,10.88,95.06
367229,98.69,35.83,1.21,75.94,59.55,92.59,59.43,33.48,21.19,78.41,56.96,51.459,1.21,92.59
183218,98.69,27.27,87.6,85.73,46.4,44.23,58.94,68.05,5.27,17.26,17.6,45.835,5.27,87.6
935189,98.69,52.85,23.39,76.72,57.62,18.72,7.82,89.51,92.08,17.96,64.25,50.092,7.82,92.08
914796,98.69,94.82,75.62,96.42,63.01,18.47,88.99,20.73,83.98,88.64,72.44,70.312,18.47,96.42
131300,98.69,64.13,16.79,94.08,15.92,16.12,13.14,94.88,15.31,76.51,90.36,49.724,13.14,94.88
614743,98.69,18.18,14.07,40.68,12.94,23.86,17,82.23,16.4,84.23,61.85,37.144,12.94,84.23
263153,98.69,23.2,34.25,85.48,12.44,35.28,88.5,52.4,91.58,16.78,91.83,53.174,12.44,91.83
808669,99.05,9.7,96.75,18.51,39.8,65.8,46.5,58.79,80.73,19.36,31.58,46.752,9.7,96.75
830880,99.15,98.61,96.97,86.78,23.96,29.1,19.1,13.68,77.72,21.02,43.32,51.026,13.68,98.61
960317,99.15,37.37,16.74,48.6,19.02,90.81,13.82,16.18,87.99,16.9,8.73,35.616,8.73,90.81
714817,99.15,52.58,91.69,87.12,49.74,15.86,3.5,14.4,65.8,14.51,89.87,48.507,3.5,91.69
581322,99.15,68.05,34.85,71.78,16,26.26,87.76,70.63,8.6,7.2,12.92,40.405,7.2,87.76
636379,99.15,81.48,31.35,94.6,13.84,20.79,16.05,61.39,30.54,33.74,27.32,41.11,13.84,94.6
