seed,maximum observed yield
922444,98.69
542583,100.0
159046,96.16
872978,99.15
399579,99.15
318669,94.57
523181,96.7
661332,96.7
190343,98.69
353660,99.15
760330,96.02
705262,98.69
254843,97.09
773683,98.42
888581,98.69
502397,95.85
827633,98.69
315220,98.69
975452,98.69
399398,98.69
620761,97.42
236589,98.69
487094,98.69
327911,96.7
747210,96.04
520111,97.83
380400,99.15
201574,95.97
281396,95.06
852438,92.82
311638,96.2
531259,96.57
819335,97.09
286935,98.69
749267,97.09
298863,96.14
630537,98.69
904464,98.69
826197,98.69
746627,96.16
63697,97.42
203374,94.26
798568,94.64
69453,98.69
274282,99.15
294101,98.69
209509,96.14
830460,93.43
542464,98.53
149948,98.69
