seed,maximum observed yield
944027,96.04
12192,99.15
10802,99.15
677907,97.98
375635,94.83
844800,94.33
798589,96.3
479361,98.69
279785,99.15
403642,99.15
267485,97.98
222597,98.42
402474,100.0
607180,100.0
961717,98.69
961922,98.2
182476,97.32
219471,98.69
48045,99.05
957481,100.0
211822,96.04
344203,99.15
974290,98.69
911921,96.04
207985,100.0
585917,99.15
19737,100.0
443467,94.82
198484,100.0
576570,98.69
360080,99.15
110848,100.0
884945,99.05
99088,99.15
32790,98.69
458193,100.0
307665,96.48
26235,99.15
828494,94.64
545590,98.69
326693,94.82
291425,95.06
25535,100.0
24282,100.0
984446,99.05
527999,99.15
176509,98.53
960590,96.61
140905,98.69
986523,99.15
