seed,maximum observed yield
849376,98.69
30236,97.09
467187,98.69
412522,96.16
324134,98.69
4015,98.69
724273,100.0
101133,96.7
213378,94.83
509186,94.33
722638,96.49
632795,96.7
597324,98.69
630799,96.7
447098,98.69
850895,95.29
269677,99.15
459305,96.74
793638,97.42
228713,94.83
400224,95.85
961047,94.83
435437,94.47
519300,92.82
269138,99.15
663256,98.69
134026,94.82
597811,100.0
490815,97.09
201527,96.25
877963,97.09
751128,99.15
823721,94.33
36841,100.0
422262,97.42
873229,98.2
590059,98.69
58005,100.0
736277,96.25
589626,94.64
222121,99.05
68373,94.82
930532,96.14
163088,95.65
529202,98.69
261798,97.09
575311,98.69
869893,94.15
898438,99.05
260944,99.15
