seed,maximum observed yield
933901,98.69
619246,97.83
429290,98.69
933838,99.15
965113,98.69
447806,98.69
68396,98.69
904580,97.83
530365,100.0
645985,98.69
139619,98.69
221791,98.69
587222,98.69
734975,98.69
889724,95.85
954063,99.15
526499,98.2
925852,99.15
495721,98.69
268721,99.15
233287,98.69
236532,100.0
386430,98.69
664891,98.69
993604,97.83
600059,96.76
299848,99.15
472007,99.15
663172,100.0
82138,98.53
881116,99.15
507033,98.69
307041,96.97
195583,98.69
43863,99.15
646508,98.69
750380,97.83
402062,100.0
319746,98.69
933306,98.69
594508,100.0
460469,97.09
839287,99.15
139966,98.69
921269,99.15
687501,100.0
890350,94.82
12851,96.04
996221,97.09
193382,99.15
