seed,maximum observed yield,yield 1,yield 2,yield 3,Mean,Min,Max
281831,95.8,10.22,7.39,10.08,9.23,7.39,10.22
460911,98.2,3.26,9.88,9.14,7.426666667,3.26,9.88
404445,98.2,9.29,10.17,0.7,6.72,0.7,10.17
50496,98.53,10.52,10.92,10.92,10.78666667,10.52,10.92
684009,98.69,5.96,7.68,3.28,5.64,3.28,7.68
664768,98.69,6.11,10.92,10.61,9.213333333,6.11,10.92
948583,98.69,8.14,10.72,9.03,9.296666667,8.14,10.72
283985,98.69,5.79,11.46,6.5,7.916666667,5.79,11.46
255897,98.69,6.66,6.11,4.66,5.81,4.66,6.66
509128,98.69,9.99,9.32,7.55,8.953333333,7.55,9.99
429489,98.69,9.94,10.52,8.67,9.71,8.67,10.52
536387,98.69,10.01,9.99,0.5,6.833333333,0.5,10.01
961893,98.69,10.92,0.53,10.77,7.406666667,0.53,10.92
769067,98.69,10.59,1.22,8.83,6.88,1.22,10.59
411486,98.69,9.07,7.25,4.12,6.813333333,4.12,9.07
335560,98.69,4.8,3.25,1.19,3.08,1.19,4.8
405805,98.69,8.11,10.74,8.82,9.223333333,8.11,10.74
848809,98.69,10.01,11.12,5.76,8.963333333,5.76,11.12
863037,98.69,6.11,11.67,7.62,8.466666667,6.11,11.67
736995,98.69,6.46,11.54,0,6,0,11.54
902362,98.69,4.56,9.88,1.98,5.473333333,1.98,9.88
288270,98.69,0.99,10.75,7.86,6.533333333,0.99,10.75
109145,98.69,6.45,9.8,4.25,6.833333333,4.25,9.8
179336,98.69,7.55,5.26,6.71,6.506666667,5.26,7.55
409086,98.69,11.21,6.6,8.83,8.88,6.6,11.21
419033,98.69,9.94,9.54,1.19,6.89,1.19,9.94
18588,98.69,9.62,2.43,8.72,6.923333333,2.43,9.62
773136,98.69,10.41,8.15,7.77,8.776666667,7.77,10.41
884026,98.69,6.86,9.88,2.46,6.4,2.46,9.88
184263,98.69,2.1,5.84,0.93,2.956666667,0.93,5.84
672588,98.69,7.86,8.14,3.35,6.45,3.35,8.14
333780,98.69,1.96,9.98,1.25,4.396666667,1.25,9.98
955536,98.69,11.22,6.14,1.25,6.203333333,1.25,11.22
713481,98.69,1.6,10.73,2.11,4.813333333,1.6,10.73
418821,98.69,10.48,4.75,8.72,7.983333333,4.75,10.48
598716,98.69,6.61,0,3.28,3.296666667,0,6.61
735346,98.69,2.13,8.72,4.61,5.153333333,2.13,8.72
769480,99.15,3.3,4.32,4.56,4.06,3.3,4.56
887567,99.15,3.5,3.88,4.69,4.023333333,3.5,4.69
304219,99.15,10.08,9.39,11.72,10.39666667,9.39,11.72
358317,99.15,5.96,9.68,11.47,9.036666667,5.96,11.47
429411,99.15,4.63,5.82,8.67,6.373333333,4.63,8.67
131148,99.15,2.67,7.24,8.6,6.17,2.67,8.6
886895,99.15,5.15,4.69,5.71,5.183333333,4.69,5.71
640351,99.15,1.48,7.67,8.14,5.763333333,1.48,8.14
999963,99.15,5.71,9.29,9.8,8.266666667,5.71,9.8
93525,100,3.85,6.08,9.6,6.51,3.85,9.6
646960,100,9.76,5.26,9.92,8.313333333,5.26,9.92
548366,100,3.28,3.03,10.99,5.766666667,3.03,10.99
632504,100,4.63,4.44,9.63,6.233333333,4.44,9.63
