seed,maximum observed yield
57678,99.61910732
631200,99.61910732
240383,99.99999
981973,99.61910732
378722,99.61910732
808140,98.84920594
3664,99.61910732
262285,99.99999
479744,99.61910732
752017,99.61910732
853433,99.99999
461212,99.99999
926984,98.84920594
189173,99.61910732
240450,95.75260589
465544,99.61910732
434353,99.99999
924152,99.61910732
308111,99.99999
82498,99.61910732
721674,98.73132029
718188,99.61910732
113456,99.03446213
649134,99.99999
137609,99.61910732
23927,99.99999
619643,98.84920594
53515,99.61910732
229993,98.17713445
627155,93.42111456
585673,99.99999
880354,99.99999
278609,99.61910732
973206,99.99999
102950,99.61910732
402202,99.61910732
347732,99.99999
48655,99.99999
927570,94.15173815
550892,99.99999
655546,99.61910732
241988,98.84920594
387215,99.61910732
219476,98.84920594
718927,98.84920594
600224,99.99999
957903,99.03446213
449093,85.89473594
202464,99.61910732
546413,99.61910732
