seed,maximum observed yield,yield 1,yield 2,yield 3,Mean,Min,Max
231484,83.09647392,50.28665363,12.7214048,6.114675165,23.0409112,6.114675165,50.28665363
794091,83.93941968,0,47.46105675,16.1585109,21.20652255,0,47.46105675
915493,94.69105416,31.22952549,36.05565123,72.38342011,46.55619894,31.22952549,72.38342011
973852,95.12897845,14.7618925,1.858400826,8.368171473,8.329488266,1.858400826,14.7618925
624830,98.17713445,91.69839995,75.03674068,0.49264217,55.74259427,0.49264217,91.69839995
290717,98.73132029,33.82793233,14.43785417,72.31351298,40.19309983,14.43785417,72.31351298
79237,98.84920594,70.67829218,19.99982627,35.39709887,42.02507244,19.99982627,70.67829218
84218,98.84920594,41.59326244,19.59428889,64.00575958,41.73110364,19.59428889,64.00575958
898597,98.84920594,87.36384149,21.75875381,42.27311559,50.46523696,21.75875381,87.36384149
690071,98.84920594,3.12306153,14.17510686,0,5.76605613,0,14.17510686
283613,98.84920594,28.39231834,18.18990312,52.37811419,32.98677855,18.18990312,52.37811419
182566,98.84920594,7.120028255,59.18255708,18.18990312,28.16416282,7.120028255,59.18255708
499367,98.84920594,3.420166341,55.23935567,48.4805474,35.71335647,3.420166341,55.23935567
186581,99.03446213,36.54381967,47.33481015,92.65898323,58.84587102,36.54381967,92.65898323
928430,99.03446213,65.73471929,79.07623711,34.96627405,59.92574348,34.96627405,79.07623711
427092,99.03446213,4.225486824,39.51659226,0.471327258,14.73780211,0.471327258,39.51659226
77956,99.61910732,17.36013023,72.70181754,63.06191521,51.04128766,17.36013023,72.70181754
212273,99.61910732,9.993569506,5.889073661,9.508022367,8.463555178,5.889073661,9.993569506
61438,99.61910732,0.910655456,58.943816,93.31083413,51.05510186,0.910655456,93.31083413
475912,99.61910732,82.20776042,34.20844443,10.63604029,42.35074838,10.63604029,82.20776042
109135,99.61910732,95.75260589,34.80628557,87.237545,72.59881215,34.80628557,95.75260589
716637,99.61910732,7.774794319,32.00160024,26.57993699,22.11877718,7.774794319,32.00160024
740221,99.61910732,34.70800352,23.84150703,28.5480245,29.03251168,23.84150703,34.70800352
63225,99.61910732,15.10235685,40.36775448,9.967512853,21.81254139,9.967512853,40.36775448
838156,99.61910732,49.87050942,6.970567232,64.60204454,40.4810404,6.970567232,64.60204454
544283,99.61910732,48.45171074,29.74076309,28.15132537,35.44793307,28.15132537,48.45171074
102668,99.61910732,57.26273694,44.26289513,65.38933316,55.63832174,44.26289513,65.38933316
845214,99.61910732,72.63770939,77.54678733,46.93920076,65.70789916,46.93920076,77.54678733
481226,99.61910732,36.7072802,81.51017538,68.76495224,62.32746927,36.7072802,81.51017538
267011,99.61910732,10.25341715,1.372286353,39.83155733,17.15242028,1.372286353,39.83155733
555928,99.61910732,10.75553549,63.46127974,11.75749506,28.65810343,10.75553549,63.46127974
644518,99.61910732,10.309392,51.39708789,72.38342011,44.69663333,10.309392,72.38342011
551770,99.61910732,7.024622197,92.13719474,42.0580413,47.07328608,7.024622197,92.13719474
304012,99.61910732,10.26938874,26.14998957,45.52184766,27.31374199,10.26938874,45.52184766
862123,99.61910732,34.96627405,18.75584418,3.169099331,18.96373919,3.169099331,34.96627405
39826,99.99999,1.831351486,30.05876834,1.208332351,11.03281739,1.208332351,30.05876834
244551,99.99999,63.25759385,44.04700483,53.30648897,53.53702922,44.04700483,63.25759385
270357,99.99999,77.02732986,49.32388819,49.20462645,58.51861483,49.20462645,77.02732986
426910,99.99999,84.68245385,16.87891597,24.91728565,42.15955182,16.87891597,84.68245385
807034,99.99999,23.78240992,0.786255311,15.70792465,13.42552996,0.786255311,23.78240992
900793,99.99999,45.53588257,0,38.77000873,28.10196377,0,45.53588257
928415,99.99999,93.02887198,5.105134806,0,32.7113356,0,93.02887198
518094,99.99999,89.32288292,8.039691846,38.5374711,45.30001529,8.039691846,89.32288292
157944,99.99999,16.79477369,38.99137319,83.36436834,46.38350507,16.79477369,83.36436834
86742,99.99999,0,0,21.7977125,7.265904167,0,21.7977125
44216,99.99999,5.460903942,37.70168941,3.339136515,15.50057662,3.339136515,37.70168941
956353,99.99999,4.577603745,40.82349272,79.04497323,41.48202323,4.577603745,79.04497323
726693,99.99999,76.23035085,92.35381549,0.860295656,56.48148733,0.860295656,92.35381549
201177,99.99999,43.48269562,7.713999512,79.26160687,43.48610067,7.713999512,79.26160687
411959,99.99999,58.63301817,93.02887198,9.330486935,53.6641257,9.330486935,93.02887198
