seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,Mean,Min,Max
405502,80.5818059,24.45376754,13.87014343,19.22189421,65.066599,26.61192771,29.84486638,13.87014343,65.066599
166000,83.09647392,38.5633346,58.99233401,38.91690391,3.606676847,1.691952122,28.3542403,1.691952122,58.99233401
535262,83.29437838,0.662349524,35.70389569,10.30004263,73.4448659,3.449624718,24.71215569,0.662349524,73.4448659
385999,83.93941968,42.94679968,31.25713511,57.08877056,0.995077613,37.90012178,34.03758095,0.995077613,57.08877056
925805,83.93941968,23.18775097,29.68665622,66.26538653,1.517636561,44.03844861,32.93917578,1.517636561,66.26538653
412226,83.93941968,40.32928262,33.74087377,61.87528527,6.90640733,0,28.5703698,0,61.87528527
189214,84.89551287,37.93567028,2.344713425,47.29404915,59.85587044,6.730455291,30.83215172,2.344713425,59.85587044
710882,85.89473594,42.79858664,6.702513015,23.34747951,0,64.45105489,27.45992681,0,64.45105489
11249,86.19820374,4.820162197,13.98206369,14.42398425,38.66523027,49.46765787,24.27181966,4.820162197,49.46765787
21998,94.15173815,60.55316321,24.72320112,0,35.04870846,33.50615076,30.76624471,0,60.55316321
779702,94.15173815,0,0,5.620589612,19.12422917,0,4.948963756,0,19.12422917
953855,94.15173815,43.83894822,19.15166059,49.985461,50.21013597,16.38360507,35.91396217,16.38360507,50.21013597
626791,94.54981251,6.083579291,6.968929302,82.84063003,47.58772845,24.40165539,33.57650449,6.083579291,82.84063003
780937,94.54981251,1.542228309,79.62575679,76.98654081,56.99401844,42.70251629,51.57021213,1.542228309,79.62575679
182562,95.12897845,14.43583555,0,12.53742021,26.58751317,1.358946967,10.98394318,0,26.58751317
822456,95.38648822,21.43045359,13.47157217,12.42396719,47.15771685,86.2541164,36.14756524,12.42396719,86.2541164
417528,95.38648822,37.13655068,66.11270607,56.99401844,0.35921569,60.94658978,44.30981613,0.35921569,66.11270607
959711,95.75260589,70.85918563,42.82874785,67.97015702,43.31814591,18.46507819,48.68826292,18.46507819,70.85918563
610948,96.59121826,6.931862367,11.72782605,7.275251821,66.65248144,24.10905766,23.33929587,6.931862367,66.65248144
573790,97.29293259,0,87.36384149,1.226267555,29.29928272,92.72370704,42.12261976,0,92.72370704
377303,97.29293259,4.988380083,0,25.0736586,73.49750543,23.9717282,25.50625446,0,73.49750543
187360,97.56849953,1.666950752,2.373221649,1.208332351,48.18783868,53.14523882,21.31631645,1.208332351,53.14523882
64277,98.28722602,36.80129147,10.47269891,36.92601799,1.161532817,19.49452071,20.97121238,1.161532817,36.92601799
587607,98.28722602,14.49254361,1.029883817,3.963450153,11.98186799,0.786255311,6.450800176,0.786255311,14.49254361
850644,98.28722602,15.82179421,83.05466982,9.011992674,35.68280094,89.48065113,46.61038175,9.011992674,89.48065113
91386,98.73132029,72.8784855,40.61436819,22.30541273,14.51047679,9.80291595,32.02233183,9.80291595,72.8784855
83388,98.84920594,1.918248424,83.76441682,33.32323005,19.47556274,89.12987666,45.52226694,1.918248424,89.12987666
647238,98.84920594,10.78337463,61.68885211,79.8902752,36.02889558,0.927604534,37.86380041,0.927604534,79.8902752
432998,98.84920594,19.59466142,35.20060583,29.29795514,14.74148388,81.15618498,35.99817825,14.74148388,81.15618498
849079,98.84920594,57.6053748,53.88645108,36.05104123,1.25144582,40.1396941,37.78680141,1.25144582,57.6053748
670210,98.84920594,0.665064231,19.11941212,1.71151259,1.742923089,77.6347291,20.17472823,0.665064231,77.6347291
671959,98.84920594,0.995077613,0.910655456,9.576264128,6.581266653,24.23900204,8.460453178,0.910655456,24.23900204
33831,98.84920594,27.00233561,40.9724255,24.08891574,64.60204454,28.29509241,36.99216276,24.08891574,64.60204454
720063,98.84920594,10.63604029,27.33482675,45.87563784,9.241578451,36.10071383,25.83775943,9.241578451,45.87563784
251935,98.84920594,26.55730378,36.5598853,46.16924796,7.206982067,18.53801466,27.00628675,7.206982067,46.16924796
129269,98.84920594,66.02401389,87.93113193,43.35191306,49.30997149,6.160292213,50.55546452,6.160292213,87.93113193
758516,98.84920594,38.55067304,9.061926079,68.26027768,64.23525691,50.04747607,46.03112196,9.061926079,68.26027768
39752,99.03446213,30.76250124,86.49714531,64.02888238,67.99152053,43.30658798,58.51732749,30.76250124,86.49714531
950876,99.03446213,65.05218409,1.986478634,72.98033012,19.48013153,46.6498955,41.22980397,1.986478634,72.98033012
349137,99.61910732,44.44197306,14.39054676,39.0058585,13.82100293,1.781909967,22.68825824,1.781909967,44.44197306
506538,99.61910732,0,20.6070389,72.15476775,93.31083413,9.444894792,39.10350711,0,93.31083413
573964,99.61910732,21.42393699,51.8134607,15.40870509,37.03037628,27.32089436,30.59947468,15.40870509,51.8134607
245592,99.61910732,6.999679881,73.22050209,23.94536549,15.42545497,0,23.91820049,0,73.22050209
360038,99.61910732,0.51807887,12.79513925,10.90397812,3.074693717,17.56349703,8.971077397,0.51807887,17.56349703
589489,99.61910732,16.85702349,18.44134196,1.069060713,28.1327933,30.38899776,18.97784344,1.069060713,30.38899776
784122,99.61910732,40.60161129,44.33872807,4.344676685,6.312401384,39.91592357,27.1026682,4.344676685,44.33872807
506196,99.61910732,70.25926715,12.64243358,23.1010236,5.370036774,31.9378098,28.66211418,5.370036774,70.25926715
813036,99.99999,14.85665703,47.63735715,42.29478749,0,68.1907703,34.59591439,0,68.1907703
232154,99.99999,78.2529931,42.0580413,16.17382734,12.11048821,0,29.71906999,0,78.2529931
7926,99.99999,73.57415684,41.03794598,24.01338043,51.21654271,89.419451,55.85229539,24.01338043,89.419451
