seed,maximum observed yield
850360,95.38648822
888436,93.02887198
105260,98.84920594
164310,93.10117477
25611,91.13914928
858318,88.16754027
504421,98.28722602
871210,94.15173815
334060,92.91423383
897669,92.25602815
697439,97.29293259
521289,91.26694463
787059,91.51096876
536870,99.99999
381427,91.51096876
521281,95.07020116
915199,95.38648822
772998,82.32885806
753472,95.75260589
171295,96.13228316
370091,95.38648822
461233,91.37329051
947576,92.25602815
772564,98.28722602
39430,99.61910732
536632,89.48065113
188775,84.40416295
157432,88.44485055
164103,93.03255731
830139,92.95670274
148568,95.38648822
755486,99.61910732
111467,93.03255731
412588,98.84920594
129132,89.5987779
119239,92.91423383
844404,97.94800557
752766,86.6996801
740123,92.20931063
831547,94.15173815
963080,98.84920594
164977,99.99999
770214,97.29293259
857893,99.99999
35600,99.99999
319270,93.87454124
476008,85.64532689
42760,98.17713445
755295,92.89765441
405962,92.25602815
