seed,maximum observed yield
548780,98.84920594
38531,99.03446213
180168,89.61417594
144651,95.67591323
806401,93.31083413
589348,81.37846659
294383,74.62438876
49437,78.36249844
848838,83.3036144
301927,94.15173815
769282,86.76065944
79316,96.59121826
775285,93.87454124
406965,98.84920594
934126,81.63511603
333682,96.13228316
333057,83.29437838
55956,84.68245385
716789,99.61910732
841091,99.61910732
999667,85.89473594
681546,92.91423383
991593,87.76406197
659604,98.17713445
284252,85.99469652
996270,85.89473594
670866,83.93941968
22254,96.13228316
754730,95.75260589
158058,92.11972779
636633,85.26909551
620996,93.58777419
388046,86.19820374
123746,93.58777419
72579,97.94800557
778109,79.34654649
771245,84.58893866
548636,81.55614964
335188,92.20931063
478948,96.13228316
71231,99.99999
606621,89.61417594
73498,89.61417594
711443,91.93340238
249447,83.29437838
345129,59.31991617
848739,81.15116736
650955,98.17713445
755707,95.75260589
154165,81.15116736
