seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,yield 6,yield 7,yield 8,yield 9,yield 10,Mean,Min,Max
965343,90.99050642,0,0.746156967,0.338169234,0,0,0.492662711,0,0,0.399824711,0,0.197681362,0,0.746156967
904063,91.93340238,0.927604534,0,0.518126221,0,0,0.338169234,0,0.57693322,0.380918213,0,0.274175142,0,0.927604534
26750,92.20931063,0.665471445,0,0.830867403,0,0.862512473,0,0.786255311,0,0,0,0.314510663,0,0.862512473
937586,93.58777419,0,0,0,0,0,0,0,0,0.400015161,0.296524645,0.069653981,0,0.400015161
215815,94.15173815,0,0.295056228,0,0.927604534,0,0,0,0,0.319224301,0.665064231,0.220694929,0,0.927604534
2261,94.15173815,0,0.757519124,0.43718104,0,0,0.66547915,0,0,0.924541619,0,0.278472093,0,0.924541619
393399,94.87994774,0,0,0.810171959,0,0,0,0,0,0,0,0.081017196,0,0.810171959
21760,94.87994774,0,0,0.027450906,0,0,0,0,0,0,0,0.002745091,0,0.027450906
443446,94.87994774,0.706381042,0,0,0.649110542,0,0.778234105,0,0.338169234,0.894637207,0,0.336653213,0,0.894637207
555044,95.38648822,0,0,0,0,0.638545637,0,0,0.121773863,0,0,0.07603195,0,0.638545637
37612,95.38648822,0.830867403,0.467733508,0,0,0,0,0,0,0,0.380918213,0.167951912,0,0.830867403
813355,95.75260589,0,0,0,0,0,0.340410651,0,0,0,0.701552228,0.104196288,0,0.701552228
396929,98.17713445,0,0,0,0,0.380918213,0,0,0.316193405,0.695297498,0,0.139240912,0,0.695297498
19798,98.28722602,0.860295656,0,0.339837285,0,0.413827697,0,0,0.868429678,0,0,0.248239032,0,0.868429678
758172,98.28722602,0,0,0.319224301,0.788355769,0.344428756,0.858974836,0,0.252253584,0,0.256451547,0.281968879,0,0.858974836
165424,98.28722602,0.727174946,0,0,0,0,0.609947969,0.597977578,0.49264217,0,0.602239969,0.302998263,0,0.727174946
867415,98.73132029,0.345789289,0,0.719285108,0.39886034,0,0,0,0,0.553317014,0,0.201725175,0,0.719285108
916038,98.73132029,0.649110542,0.489724505,0.638545637,0,0,0.490842961,0.52608193,0,0.406585723,0,0.32008913,0,0.649110542
78547,98.73132029,0,0,0.855112472,0,0,0,0,0,0,0.489724505,0.134483698,0,0.855112472
826058,98.84920594,0.710304987,0.380918213,0.423167396,0.871820746,0,0,0.595872872,0,0,0.602239969,0.358432418,0,0.871820746
412310,98.84920594,0,0.810171959,0,0,0.35921569,0,0,0.39886034,0.595872872,0,0.216412086,0,0.810171959
981065,98.84920594,0.857255308,0.330501293,0,0.339942053,0,0.628858286,0,0,0.701552228,0,0.285810917,0,0.857255308
198773,98.84920594,0,0,0,0.851812248,0,0.698318685,0,0,0,0.70766924,0.225780017,0,0.851812248
666910,98.84920594,0,0,0,0,0,0.566845941,0.649110542,0.275668441,0,0.426836265,0.191846119,0,0.649110542
944956,98.84920594,0,0,0,0,0,0,0.910655456,0,0,0.344428756,0.125508421,0,0.910655456
696596,98.84920594,0,0,0,0.710304987,0,0,0,0,0,0.413827697,0.112413268,0,0.710304987
339066,99.03446213,0,0,0.572188732,0,0,0,0,0.649110542,0.858974836,0.705225291,0.27854994,0,0.858974836
510705,99.03446213,0,0,0,0.836644888,0.602410789,0,0.406585723,0.707254592,0,0,0.255289599,0,0.836644888
682027,99.03446213,0.894637207,0,0,0.389738186,0,0.546791384,0.648980669,0,0.602239969,0.72962294,0.381201036,0,0.894637207
697197,99.03446213,0.705225291,0.344428756,0,0,0.737631078,0.613157833,0.926720681,0,0.712699399,0,0.403986304,0,0.926720681
18499,99.61910732,0.252253584,0,0,0,0,0.1532428,0.355367929,0,0,0,0.076086431,0,0.355367929
815988,99.61910732,0,0,0.648980669,0.35921569,0.668792684,0,0.841459123,0,0.375286042,0.390715033,0.328444924,0,0.841459123
961410,99.61910732,0.375286042,0,0,0.39886034,0.597977578,0.910655456,0.665471445,0.747411772,0,0.382305168,0.40779678,0,0.910655456
222634,99.61910732,0.613157833,0,0,0,0,0,0.858974836,0,0,0,0.147213267,0,0.858974836
958836,99.61910732,0,0.695599064,0.522267307,0,0.927604534,0.448085745,0,0,0,0,0.259355665,0,0.927604534
864603,99.99999,0.568210949,0,0,0.432282788,0,0,0,0,0,0,0.100049374,0,0.568210949
541405,99.99999,0,0,0,0.705225291,0.51807887,0,0.489044772,0,0.878081853,0.609947969,0.320037876,0,0.878081853
226962,99.99999,0,0.538585368,0,0,0.566845941,0,0.884950948,0,0,0,0.199038226,0,0.884950948
541279,99.99999,0,0.316193405,0.638545637,0.855112472,0.419612341,0.745430861,0,0,0,0,0.297489472,0,0.855112472
632025,99.99999,0,0.638545637,0.719285108,0.727174946,0.419612341,0.66547915,0.526967727,0,0,0.871820746,0.456888566,0,0.871820746
804314,99.99999,0.747631534,0.910655456,0.719285108,0.862512473,0.706381042,0,0,0,0,0,0.394646561,0,0.910655456
193261,99.99999,0,0,0,0,0.529819216,0.871820746,0,0.747631534,0,0.406585723,0.255585722,0,0.871820746
267545,99.99999,0,0.648980669,0,0.256451547,0,0.380918213,0,0.027450906,0.43718104,0,0.175098238,0,0.648980669
739135,99.99999,0,0.43718104,0.924541619,0.746156967,0.668792684,0,0,0.727174946,0,0.39886034,0.39027076,0,0.924541619
767035,99.99999,0.646778821,0,0,0.750246803,0,0,0,0,0,0,0.139702562,0,0.750246803
219237,99.99999,0,0.426836265,0,0.256451547,0,0.613157833,0.553317014,0,0.296524645,0.695297498,0.28415848,0,0.695297498
52382,99.99999,0,0,0,0.57693322,0.620480408,0,0,0,0.400015161,0.568210949,0.216563974,0,0.620480408
452350,99.99999,0,0,0.682447226,0.83326199,0.712699399,0,0,0,0.705225291,0,0.293363391,0,0.83326199
463038,99.99999,0.456472494,0,0.705195152,0.375286042,0.57693322,0,0,0.648980669,0,0,0.276286758,0,0.705195152
813974,99.99999,0,0,0,0,0.871820746,0,0.492662711,0,0,0.662349524,0.202683298,0,0.871820746
