seed,maximum observed yield,yield 1,yield 2,yield 3,Mean,Min,Max
306678,99.22,13.34,61.71,0,25.01666667,0,61.71
117132,99.98,3.88,8.21,61,24.36333333,3.88,61
175759,99.98,29.45,0,0,9.816666667,0,29.45
15109,99.98,0,81.48,4.16,28.54666667,0,81.48
203751,99.98,0,0.12,0,0.04,0,0.12
128717,99.98,59.68,5.77,13.79,26.41333333,5.77,59.68
513512,100,32.68,14.75,39.86,29.09666667,14.75,39.86
44835,100,11.52,0,0,3.84,0,11.52
229584,100,7.25,2.85,17,9.033333333,2.85,17
61661,100,0,10.68,9.96,6.88,0,10.68
76979,100,0,31.58,0,10.52666667,0,31.58
396273,100,66.9,16.71,0,27.87,0,66.9
72124,100,53.52,69.2,13.79,45.50333333,13.79,69.2
818408,100,0,0,25.86,8.62,0,25.86
153683,100,0,6.42,0,2.14,0,6.42
806380,100,60.29,0,0,20.09666667,0,60.29
724497,100,75.22,0,37.3,37.50666667,0,75.22
440661,100,0,27.79,27.93,18.57333333,0,27.93
671490,100,74.04,2.67,40.02,38.91,2.67,74.04
791676,100,84.49,0,36.96,40.48333333,0,84.49
637069,100,0,0,49.22,16.40666667,0,49.22
117947,100,23.75,2.29,53.25,26.43,2.29,53.25
939467,100,0,54.55,0,18.18333333,0,54.55
261249,100,0,0,43.76,14.58666667,0,43.76
874610,100,0,40.26,9.79,16.68333333,0,40.26
201381,100,0,49.17,0,16.39,0,49.17
36714,100,19.51,20.35,0,13.28666667,0,20.35
677841,100,3.51,2.52,24.05,10.02666667,2.52,24.05
896721,100,0,7.54,31.55,13.03,0,31.55
474567,100,37.93,0.04,67.57,35.18,0.04,67.57
906733,100,13.11,0,10.68,7.93,0,13.11
730172,100,0,0,0,0,0,0
460867,100,26.5,4.09,0.24,10.27666667,0.24,26.5
624296,100,54.55,0,13.19,22.58,0,54.55
719678,100,75.12,2.45,0,25.85666667,0,75.12
439131,100,0,0.44,0,0.146666667,0,0.44
888275,100,54.83,35.64,0,30.15666667,0,54.83
261051,100,27.41,2.79,16.85,15.68333333,2.79,27.41
340968,100,15.86,2.49,56.14,24.83,2.49,56.14
476208,100,1.96,1.62,8.23,3.936666667,1.62,8.23
260866,100,59.83,11.07,8.17,26.35666667,8.17,59.83
414655,100,0.04,64.48,0,21.50666667,0,64.48
718507,100,31.85,6.57,0,12.80666667,0,31.85
751977,100,11.69,54.07,0,21.92,0,54.07
204910,100,0,30.44,0,10.14666667,0,30.44
500985,100,40.04,5.94,0,15.32666667,0,40.04
646352,100,0,29.14,23.53,17.55666667,0,29.14
18683,100,9.07,13.71,16.92,13.23333333,9.07,16.92
941324,100,24.59,7.42,0,10.67,0,24.59
228413,100,48.15,54.55,0,34.23333333,0,54.55
