seed,maximum observed yield
327026,100.0
603310,100.0
901029,100.0
645345,100.0
855435,100.0
68933,99.81
239161,100.0
623230,100.0
779406,100.0
927734,96.64
758675,100.0
251890,99.98
675816,100.0
921736,100.0
442338,100.0
203009,99.98
770323,99.98
540270,100.0
327477,100.0
245962,100.0
49185,100.0
216119,100.0
45336,100.0
920051,100.0
780254,100.0
565107,100.0
129736,96.64
209396,100.0
828884,100.0
440904,100.0
732726,87.83
198091,100.0
288822,100.0
288212,100.0
246520,100.0
298000,100.0
409521,100.0
480370,100.0
440803,100.0
939830,100.0
330958,100.0
362873,100.0
493178,100.0
333823,100.0
33721,100.0
865477,99.81
834762,100.0
138393,100.0
614369,100.0
39663,100.0
