seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,yield 6,yield 7,yield 8,Mean,Min,Max
111253,75.46,21.54,6.4,0,1.95,13.75,0.18,0,0,5.4775,0,21.54
362304,79.76,31.13,5.03,29.39,0,69.11,7.43,48.64,78.6,33.66625,0,78.6
439597,79.76,26.64,4.53,0,0,0,0,0,54.55,10.715,0,54.55
384204,86.14,0,3.07,0.79,23.1,59.27,0,6.67,52.56,18.1825,0,59.27
312743,86.14,0,38.78,10.04,0,16.83,76.63,0,0,17.785,0,76.63
994780,86.37,12.34,73.93,0,61.94,1.68,3.01,0,2.58,19.435,0,73.93
881609,86.43,16.91,30.21,46.53,0.48,14.43,69.11,7.34,45.85,28.8575,0.48,69.11
440028,88.41,0.93,2.77,0,0,28.11,26.69,83.83,8.14,18.80875,0,83.83
557524,88.41,8.82,68.86,64.62,14.24,8.04,5.24,0,14.51,23.04125,0,68.86
784265,88.89,47.3,0,20.04,61.86,0,16.51,39.39,0,23.1375,0,61.86
704865,89.95,0,15.42,0,0,0,0.33,0,8.84,3.07375,0,15.42
853326,92.03,0,0,22.31,0,48.88,28.74,2.69,3.14,13.22,0,48.88
508915,95.48,19.95,36.46,7.43,79.1,16.15,8.9,8.4,55.96,29.04375,7.43,79.1
329149,95.48,20.72,24.56,0,16.28,5.62,0,0,0,8.3975,0,24.56
916129,95.48,13.89,75.4,10.66,42.3,0,0,2.45,0,18.0875,0,75.4
16376,96.64,41,21.51,4.09,3.51,0.12,15.64,23.77,46.46,19.5125,0.12,46.46
2935,96.64,0,4.3,38.03,0,54.26,85.21,0,0,22.725,0,85.21
111309,99.22,43.18,53.52,27.48,21.5,4.43,4.51,2.11,75.22,28.99375,2.11,75.22
216491,99.81,16.19,51.83,38.48,16.15,63.13,30.77,6.57,0,27.89,0,63.13
946743,99.81,0.53,0,27.93,20.05,8.17,30.15,4.06,3.57,11.8075,0,30.15
435697,99.81,22.65,79.76,58.13,0,71.97,9.96,76.68,0,39.89375,0,79.76
829569,99.81,20.46,7.02,45.28,0.31,23.77,61,14.68,5.88,22.3,0.31,61
441375,99.81,26.64,0,24.09,39.2,11.69,3.63,0,0,13.15625,0,39.2
278167,99.81,46.33,71.97,51.37,22.31,0,2.49,73.71,11.65,34.97875,0,73.71
36462,99.81,14.29,18.19,11.83,0,0,10.77,46.46,0,12.6925,0,46.46
999009,99.81,0,31.29,1.65,13.11,18.38,0,28.4,0,11.60375,0,31.29
27746,99.81,86.46,84.62,0,0,3.04,7.59,0,0,22.71375,0,86.46
455373,99.81,8.11,63.2,11.3,0,59.83,35.43,3.8,69.03,31.3375,0,69.03
924575,99.98,18.93,0,11.6,0,24.8,48.15,22.3,4.92,16.3375,0,48.15
906326,99.98,20.6,7.88,0,0,7.54,0,7.34,0,5.42,0,20.6
783291,99.98,42.62,25.67,53.81,44.25,57.85,0,0,6.44,28.83,0,57.85
774363,99.98,6.26,7.88,5.22,31.58,4.86,14.99,0,4.1,9.36125,0,31.58
53826,99.98,1.03,0.85,0,0,17.63,34.4,0,30.77,10.585,0,34.4
124391,99.98,19.77,16.87,0,48.64,0,0,5.26,0,11.3175,0,48.64
41052,99.98,0,0,22.31,3.35,0,6.77,25.77,11.95,8.76875,0,25.77
968816,99.98,0,0,0,50.7,2.13,11.19,9.59,0,9.20125,0,50.7
535931,99.98,43.76,22.08,0,13.22,0,4.48,66.9,0,18.805,0,66.9
814971,99.98,4.74,5.36,24.56,0,0,0,0.78,26.48,7.74,0,26.48
392410,99.98,17.56,0,20.5,92.19,26.12,17.93,0,0.79,21.88625,0,92.19
985401,99.98,0,10.44,5.3,0.76,53.61,2.21,24.02,0,12.0425,0,53.61
792503,99.98,84.67,36.32,30.41,0,2.72,22.08,1.31,0,22.18875,0,84.67
355969,100,37.93,19.04,35.6,52.2,0,34.4,11.95,33.6,28.09,0,52.2
314703,100,0,3.63,0,59.27,49.4,0,10.51,0,15.35125,0,59.27
645711,100,24,0,50.69,66.27,76.85,0,38.44,43.52,37.47125,0,76.85
580117,100,29.17,0,0,74.3,30.03,46.53,38.79,0,27.3525,0,74.3
919047,100,28.36,62.32,0,7.84,2.85,52.56,16.07,31.43,25.17875,0,62.32
325963,100,23.1,64.12,11.83,16.51,17.16,5.7,20.72,15.42,21.82,5.7,64.12
821074,100,0,89.95,21.88,0,2.65,17.16,55.96,9.59,24.64875,0,89.95
678417,100,0.14,0,31.32,1.95,24.09,0,0,0,7.1875,0,31.32
190829,100,26.88,13.99,3.04,0,24.56,0,45.37,0,14.23,0,45.37
