seed,maximum observed yield
412127,100.0
986148,99.98
623000,99.81
585757,89.14
146558,99.98
570663,99.98
619773,100.0
910719,100.0
464583,100.0
882322,100.0
815624,100.0
37589,100.0
216748,100.0
132400,88.41
868960,100.0
133266,99.98
961294,99.81
877219,99.81
453629,89.95
505062,99.81
279824,100.0
782161,100.0
830228,100.0
730412,100.0
836108,99.22
733064,83.62
613321,89.14
262429,99.98
42994,100.0
584824,100.0
840143,99.81
271080,100.0
937696,100.0
727790,100.0
744831,100.0
894071,99.81
275099,89.17
804763,99.81
95401,100.0
720774,100.0
625015,100.0
51416,100.0
207725,99.98
615776,100.0
283070,100.0
261695,100.0
46920,100.0
776322,100.0
731156,89.17
757905,89.17
