seed,maximum observed yield
691247,98.38
677869,69.26
61676,99.98
397283,88.89
138775,98.38
277387,80.86
420372,99.22
568558,99.81
12534,100.0
22516,88.41
529142,78.6
806004,99.81
84687,89.95
554912,74.3
905883,99.81
401548,91.27
943855,83.62
164830,99.81
430360,89.95
19131,78.93
169897,54.55
998130,99.98
361073,99.81
320084,99.98
343738,88.41
595794,99.98
16626,91.27
386713,99.81
6768,99.98
889225,99.81
925668,79.76
578596,100.0
509110,99.81
298646,85.21
243181,99.22
599088,99.98
161004,83.83
688909,99.98
888077,100.0
971379,89.14
58433,100.0
932522,99.81
410136,89.14
498783,89.71
643859,89.71
682553,96.64
441880,99.22
55141,99.81
671280,88.41
719330,89.14
