seed,maximum observed yield
392984,95.85
88822,97.09
830852,99.15
888865,98.69
192912,98.42
371407,98.69
777037,97.42
853335,96.7
111206,98.61
326274,98.2
278910,98.53
418897,99.15
25595,98.2
697803,100.0
913800,98.53
971791,98.69
96516,100.0
709746,99.15
756984,93.67
77468,95.34
899440,97.29
64296,95.95
485020,99.15
48534,97.83
502832,93.28
407254,98.69
517590,95.65
766464,100.0
771139,94.41
999711,95.95
599906,98.53
262472,98.69
492351,98.69
640929,98.53
81078,98.69
926873,98.69
895612,98.53
554291,96.7
637696,98.2
477214,100.0
676492,94.57
236871,97.42
646975,94.26
787925,94.33
860240,98.69
524180,98.69
2146,97.09
930215,100.0
701225,98.69
527507,99.15
