seed,maximum observed yield,yield 1,yield 2,yield 3,Mean,Min,Max
502832,93.28,22.93,16.56,30.94,23.47666667,16.56,30.94
756984,93.67,21.57,11.46,86.53,39.85333333,11.46,86.53
646975,94.26,83.44,84.64,10.11,59.39666667,10.11,84.64
787925,94.33,76.2,35.1,37.23,49.51,35.1,76.2
771139,94.41,14.14,21.27,16.83,17.41333333,14.14,21.27
676492,94.57,9.03,46.82,51.08,35.64333333,9.03,51.08
77468,95.34,11.81,91.75,92.16,65.24,11.81,92.16
517590,95.65,93.67,12.44,44.42,50.17666667,12.44,93.67
392984,95.85,91.79,52.92,71.74,72.15,52.92,91.79
64296,95.95,12.55,62.9,69.09,48.18,12.55,69.09
999711,95.95,20.09,84.49,90.3,64.96,20.09,90.3
853335,96.7,8.53,12.86,57.08,26.15666667,8.53,57.08
554291,96.7,10.01,82.1,15.23,35.78,10.01,82.1
88822,97.09,90.99,95.06,96.32,94.12333333,90.99,96.32
2146,97.09,68.62,8.83,90.81,56.08666667,8.83,90.81
899440,97.29,7.85,79.47,91.93,59.75,7.85,91.93
777037,97.42,60.14,23.33,25.46,36.31,23.33,60.14
236871,97.42,89.13,20.14,27.95,45.74,20.14,89.13
48534,97.83,82.92,83.3,91.17,85.79666667,82.92,91.17
326274,98.2,14.78,18.75,57.98,30.50333333,14.78,57.98
25595,98.2,80.74,89.8,19.64,63.39333333,19.64,89.8
637696,98.2,53.52,22.27,33.79,36.52666667,22.27,53.52
192912,98.42,89.03,3.82,13.64,35.49666667,3.82,89.03
278910,98.53,21.39,47.7,71.31,46.8,21.39,71.31
913800,98.53,21.95,15.14,46.73,27.94,15.14,46.73
599906,98.53,15.41,51.28,40.88,35.85666667,15.41,51.28
640929,98.53,35.88,73.12,18.66,42.55333333,18.66,73.12
895612,98.53,19.06,38.88,24.46,27.46666667,19.06,38.88
111206,98.61,15.93,16.32,53.67,28.64,15.93,53.67
888865,98.69,15.49,84.05,16.17,38.57,15.49,84.05
371407,98.69,65.71,14.78,46.32,42.27,14.78,65.71
971791,98.69,44.12,37.36,13.24,31.57333333,13.24,44.12
407254,98.69,65.69,75.36,90.33,77.12666667,65.69,90.33
262472,98.69,92.43,57.98,16.82,55.74333333,16.82,92.43
492351,98.69,67.23,9.76,88.43,55.14,9.76,88.43
81078,98.69,17.79,82.07,46.08,48.64666667,17.79,82.07
926873,98.69,1.22,13.21,90.57,35,1.22,90.57
860240,98.69,91.86,20.05,84.64,65.51666667,20.05,91.86
524180,98.69,94.57,14.96,59.14,56.22333333,14.96,94.57
701225,98.69,85.46,17.06,42.43,48.31666667,17.06,85.46
830852,99.15,11.86,18.94,18.11,16.30333333,11.86,18.94
418897,99.15,25,6.62,76.98,36.2,6.62,76.98
709746,99.15,20.84,46.21,21.37,29.47333333,20.84,46.21
485020,99.15,26.44,91.28,35.01,50.91,26.44,91.28
527507,99.15,27.37,57.66,57.39,47.47333333,27.37,57.66
697803,100,26.71,24.04,38.9,29.88333333,24.04,38.9
96516,100,23.22,21.13,67.84,37.39666667,21.13,67.84
766464,100,24.54,15.35,48.73,29.54,15.35,48.73
477214,100,100,7.39,90.4,65.93,7.39,100
930215,100,32.6,95.96,81.52,70.02666667,32.6,95.96
