seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,Mean,Min,Max
424847,88.37,14.65,60.88,24.54,19.44,19.24,27.75,14.65,60.88
515088,91.24,12.3,17.09,19.91,14.35,19.09,16.548,12.3,19.91
944682,93.95,15.29,15.63,75.5,5.49,24.81,27.344,5.49,75.5
570911,94.03,18.47,86.25,19.78,50.85,37.35,42.54,18.47,86.25
298062,94.26,26.83,74.65,21.26,52.32,18.36,38.684,18.36,74.65
443141,94.41,67.22,57.98,20.88,24.7,12.29,36.614,12.29,67.22
359023,94.82,5.87,60.94,15.15,12.14,90.9,37,5.87,90.9
188867,95.31,14.39,30.73,49.28,18.29,82.87,39.112,14.39,82.87
988250,95.34,22.27,61.62,77.06,95.06,18.91,54.984,18.91,95.06
65671,95.8,66.25,15.64,18.3,22.3,6.25,25.748,6.25,66.25
768918,95.85,13.53,21.72,4.82,30.48,16.49,17.408,4.82,30.48
268211,95.95,21.13,13.34,48.98,9.48,27.03,23.992,9.48,48.98
7493,96.14,94.15,70.55,38.59,68.05,24.2,59.108,24.2,94.15
549164,96.14,91.59,87.89,20.55,11.94,68.54,56.102,11.94,91.59
385745,96.16,70.51,18.16,14.19,36.05,27.31,33.244,14.19,70.51
354845,96.38,7.07,93.12,80.07,17.78,31.98,46.004,7.07,93.12
701880,96.42,20.77,17.87,19.08,20.58,92.73,34.206,17.87,92.73
500072,97.32,17.84,26.88,16.04,66.93,54.06,36.35,16.04,66.93
504950,97.42,17.57,41.3,53.09,88.53,60.68,52.234,17.57,88.53
432053,97.98,4.25,25.22,21.77,18.95,75.99,29.236,4.25,75.99
756190,98.2,88.93,70.14,83.66,12.76,44.12,59.922,12.76,88.93
875980,98.2,41.57,39.98,52.36,97.09,83.02,62.804,39.98,97.09
559282,98.42,42.57,14.44,8.67,90.23,91.96,49.574,8.67,91.96
971494,98.42,15.82,75,2.56,93.31,44.38,46.214,2.56,93.31
226069,98.53,15.64,30.18,38.25,88.27,10.09,36.486,10.09,88.27
481163,98.53,67.02,90.61,14.22,33.94,1.79,41.516,1.79,90.61
871176,98.53,64.74,90.21,88.28,86.36,51.25,76.168,51.25,90.21
223391,98.53,18.87,68.72,62.9,37.88,91.14,55.902,18.87,91.14
173909,98.53,71.09,64.78,8.82,45.63,18.91,41.846,8.82,71.09
717080,98.53,7.25,15.38,5.84,75.7,45.58,29.95,5.84,75.7
458429,98.69,22.78,5.14,88.01,42.75,68.95,45.526,5.14,88.01
816699,98.69,23.65,23.83,19.8,16.54,68.05,30.374,16.54,68.05
266806,98.69,13.85,12.06,21.31,12.86,32.22,18.46,12.06,32.22
825003,98.69,76.22,24.77,93.82,71.64,37.05,60.7,24.77,93.82
206570,98.69,46.27,57.55,62.9,17.26,11.78,39.152,11.78,62.9
91299,98.69,62.56,63.77,69.6,17.53,16.06,45.904,16.06,69.6
923889,98.69,69.05,68.32,71.59,7.24,28.53,48.946,7.24,71.59
864058,98.69,10.52,60.18,26.26,11.13,16.45,24.908,10.52,60.18
770070,98.69,1.2,24.71,39.17,18.29,82.19,33.112,1.2,82.19
211114,98.69,75.08,86.92,12.23,10.87,3.35,37.69,3.35,86.92
230288,98.69,85.09,0.94,72.78,41.14,39.21,47.832,0.94,85.09
71923,98.69,77.32,44.12,13.52,90.92,70.65,59.306,13.52,90.92
291522,98.69,90.4,17.79,60.65,66.68,69.05,60.914,17.79,90.4
361875,98.69,73.72,11.93,70.45,80.35,59.54,59.198,11.93,80.35
76030,99.15,16.86,31.78,9.29,20.14,92.49,34.112,9.29,92.49
947471,99.15,96.97,39.42,8.77,81.29,6.27,46.544,6.27,96.97
299219,99.15,91.37,22.24,48.98,12.85,46.27,44.342,12.85,91.37
718061,99.15,4.37,38.08,13.75,11.91,50.15,23.652,4.37,50.15
537927,99.15,32.24,54.09,22.25,20.98,39.8,33.872,20.98,54.09
363384,100,51.77,91.9,2.58,5.87,20.34,34.492,2.58,91.9
