seed,maximum observed yield
51812,96.89
359114,93.79
167236,94.64
233903,98.42
979590,98.61
268665,94.08
653269,94.13
812919,98.2
708319,95.85
270958,96.14
184297,98.42
788562,99.05
370146,96.49
705431,96.97
78158,94.32
25368,96.49
46748,98.42
866708,96.05
251143,92.77
34675,96.48
839472,96.97
236698,95.85
798949,98.69
514859,94.64
613011,99.05
169284,95.65
589555,95.85
85701,98.61
376857,95.06
670125,96.42
330483,96.42
891100,94.67
555466,100.0
753837,94.7
312378,98.42
623188,98.2
296121,93.94
913663,96.42
145135,99.05
605122,99.15
168721,94.82
541464,97.09
174615,96.61
378942,96.6
347256,94.33
518206,95.85
171391,99.05
790413,98.42
574503,94.82
74797,93.67
