seed,maximum observed yield
937761,99.15
910355,98.69
865954,100.0
176516,99.05
357362,96.48
430625,100.0
994122,98.2
351497,99.15
319399,99.15
540412,100.0
116722,100.0
741125,96.16
275893,99.15
968810,98.42
705859,99.15
588598,98.69
29766,98.69
488149,98.2
847412,95.06
854689,100.0
431668,98.42
576263,99.15
180201,98.42
8500,99.15
208523,98.69
73367,97.83
732794,96.97
139691,100.0
895846,98.2
799898,96.89
397961,99.15
54199,98.2
120610,98.69
133575,96.04
353889,99.15
420901,98.69
948567,98.53
546540,99.15
566366,100.0
401056,98.61
615307,97.42
29446,100.0
802807,98.61
211461,98.69
608957,100.0
834135,97.42
519328,100.0
971284,100.0
594398,99.15
238359,98.69
