seed,maximum observed yield
55064,98.53
214581,98.69
121625,98.69
868775,98.69
29818,98.42
310085,98.42
743503,98.2
661198,98.69
786192,98.69
195985,98.42
658295,98.69
929935,97.98
41480,98.69
90606,98.69
850308,98.69
723695,98.69
590629,98.69
219787,98.69
431717,97.98
969329,98.42
223047,98.69
845299,98.69
947547,98.69
304254,95.06
375553,98.69
191533,98.42
901221,98.69
737540,98.69
426935,98.53
248340,98.69
719743,98.69
914811,98.69
997611,98.69
879897,98.69
424833,98.69
671999,95.85
987868,98.69
649107,98.42
914330,98.69
352625,98.53
682231,98.69
345235,98.69
39263,98.42
729524,98.53
414004,97.98
987227,98.42
204495,97.98
535554,98.69
954553,97.98
636585,97.09
