seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,Mean,Min,Max
634529,96.04,9.64,7.67,5.37,1.22,10.09,6.798,1.22,10.09
789650,97.42,2.25,5.37,6.49,4.66,6.45,5.044,2.25,6.49
552665,97.42,0,11.12,10.28,10.22,7.82,7.888,0,11.12
245047,98.2,10.18,0.64,6.27,10.87,4.69,6.53,0.64,10.87
998288,98.2,7.66,9.19,9.94,8.77,9.05,8.922,7.66,9.94
936847,98.2,8.83,7.25,11.63,3.69,9.89,8.258,3.69,11.63
982263,98.53,10.07,10.87,6.81,0.58,6.46,6.958,0.58,10.87
513753,98.53,11.55,11.14,11.47,4.36,5.15,8.734,4.36,11.55
173915,98.53,8.67,2.67,2.58,5.45,6.14,5.102,2.58,8.67
185491,98.69,2.96,8.19,6.84,11.12,1.88,6.198,1.88,11.12
886504,98.69,3.89,0,2.58,2.49,1.41,2.074,0,3.89
364867,98.69,2.13,11.6,10.18,10.61,7.82,8.468,2.13,11.6
21628,98.69,9.39,10.13,7.08,3.86,8.07,7.706,3.86,10.13
875387,98.69,3.82,8.07,5.8,3.69,6.61,5.598,3.69,8.07
576801,98.69,1.95,1.98,5.31,7.55,0.52,3.462,0.52,7.55
895868,98.69,3.64,7.8,8.11,0.64,10.88,6.214,0.64,10.88
833976,98.69,1.88,8.67,8.04,6.62,4.66,5.974,1.88,8.67
843674,98.69,3.02,10.09,10.87,9.78,5.93,7.938,3.02,10.87
394981,98.69,4.02,6.28,2.1,10.92,10.08,6.68,2.1,10.92
51479,98.69,9.94,6.27,6.48,6.86,9.43,7.796,6.27,9.94
748611,98.69,6.6,0.8,11.21,0.93,5.27,4.962,0.8,11.21
673111,98.69,7.85,4.54,4.32,8.6,2.96,5.654,2.96,8.6
514210,98.69,6.27,8.19,0.53,0.58,4.47,4.008,0.53,8.19
638742,98.69,7.47,10.11,10.59,11.43,4.02,8.724,4.02,11.43
302285,98.69,3.78,8.89,10.59,3.03,11.21,7.5,3.03,11.21
620241,98.69,6.61,6.26,2.46,2.45,6.66,4.888,2.45,6.66
959143,98.69,6.48,9.92,1.98,8.09,3.35,5.964,1.98,9.92
714781,98.69,2.71,7.66,0,9.78,7.24,5.478,0,9.78
84769,98.69,1.79,10.22,6.62,11.13,2.18,6.388,1.79,11.13
400753,98.69,10.73,7.39,0,9.07,11.22,7.682,0,11.22
252870,98.69,0.53,4.76,11.29,5.3,5.71,5.518,0.53,11.29
771169,98.69,7.55,10.48,0.93,2.11,10.22,6.258,0.93,10.48
195569,98.69,11.56,6.97,5.87,4.94,10.54,7.976,4.94,11.56
93347,98.69,9.03,5.12,4.44,9.74,2.11,6.088,2.11,9.74
890127,98.69,9.68,5.96,10.48,11.54,1.41,7.814,1.41,11.54
302419,98.69,1.6,7.86,8.53,2.49,3.68,4.832,1.6,8.53
15171,98.69,9.29,6.11,1.05,7.37,3.3,5.424,1.05,9.29
264033,98.69,4.36,6.48,3.82,4.47,4.94,4.814,3.82,6.48
185331,98.69,0.58,10.87,4.75,0.5,11.45,5.63,0.5,11.45
572730,100,11.18,4.3,9.29,6.49,10.72,8.396,4.3,11.18
904628,100,7.25,6.86,2.27,0.52,7.68,4.916,0.52,7.68
463446,100,0.6,9.51,2.13,7.66,10.74,6.128,0.6,10.74
81778,100,0.8,3.82,10.88,9.8,2.11,5.482,0.8,10.88
150530,100,5.79,4.63,8.83,10.77,0,6.004,0,10.77
767879,100,8.53,0.58,8.19,5.34,9.51,6.43,0.58,9.51
949680,100,6.81,4.36,5.84,9.25,6.61,6.574,4.36,9.25
821971,100,2.35,5.54,9.48,7.82,6.45,6.328,2.35,9.48
732129,100,11.54,3.68,11.12,5.76,11.13,8.646,3.68,11.54
466392,100,3.32,5.14,0.58,0,11.64,4.136,0,11.64
949042,100,11.67,3.82,8.73,10.42,10.09,8.946,3.82,11.67
