reaction,sampling method,batch size,number of experiments,mean yield,standard deviation,average loss, worst-case loss
suzuki,EI,1,50,98.64,0.99,1.36,4.15
suzuki,EI,2,50,98.89,0.80,1.11,4.15
suzuki,EI,3,51,98.78,0.78,1.22,3.52
suzuki,EI,4,48,98.81,1.12,1.19,5.67
suzuki,EI,5,50,98.64,1.15,1.36,5.18
suzuki,EI,6,48,98.55,1.10,1.45,4.66
suzuki,EI,7,49,98.69,1.04,1.31,4.15
suzuki,EI,8,48,98.64,1.03,1.36,4.15
suzuki,EI,9,45,98.51,1.12,1.49,4.20
suzuki,EI,9,54,98.68,1.02,1.32,4.15
suzuki,EI,10,50,98.78,0.81,1.22,4.15
suzuki,TS,1,50,98.40,1.24,1.60,4.15
suzuki,TS,2,50,98.28,1.23,1.72,5.87
suzuki,TS,3,51,98.38,1.14,1.62,5.26
suzuki,TS,4,48,97.89,1.67,2.11,6.27
suzuki,TS,5,50,98.18,1.58,1.82,5.20
suzuki,TS,6,48,98.25,1.33,1.75,5.97
suzuki,TS,7,49,98.08,1.59,1.92,6.56
suzuki,TS,8,48,98.26,1.60,1.74,6.87
suzuki,TS,9,45,98.01,1.49,1.99,6.19
suzuki,TS,9,54,98.26,1.41,1.74,6.19
suzuki,TS,10,50,98.37,1.44,1.63,6.57
suzuki,TS-EI,1,50,98.40,1.24,1.60,4.15
suzuki,TS-EI,2,50,98.74,0.95,1.26,4.12
suzuki,TS-EI,3,51,98.75,0.83,1.25,3.62
suzuki,TS-EI,4,48,98.61,1.05,1.39,5.17
suzuki,TS-EI,5,50,98.50,1.26,1.50,5.18
suzuki,TS-EI,6,48,98.64,1.02,1.36,5.18
suzuki,TS-EI,7,49,98.58,1.30,1.42,5.18
suzuki,TS-EI,8,48,98.62,1.08,1.38,4.15
suzuki,TS-EI,9,45,98.64,1.23,1.36,4.35
suzuki,TS-EI,9,54,98.83,1.08,1.17,3.98
suzuki,TS-EI,10,50,98.77,0.86,1.23,3.95
