filename,mean yield,standard deviation,average loss, worst-case loss
suzuki_random_1_25_50.csv,97.52,1.62,2.48,6.31
suzuki_random_1_50_50.csv,98.71,0.78,1.29,4.15
suzuki_random_2_24_50.csv,97.41,1.68,2.59,7.18
suzuki_random_2_50_50.csv,98.88,0.86,1.12,3.84
suzuki_random_3_24_50.csv,97.73,1.78,2.27,6.72
suzuki_random_3_51_50.csv,98.85,0.93,1.15,3.80
suzuki_random_4_24_50.csv,97.48,1.83,2.52,7.12
suzuki_random_4_48_50.csv,98.66,1.36,1.34,6.57
suzuki_random_5_25_50.csv,97.30,2.24,2.70,11.63
suzuki_random_5_50_50.csv,98.49,1.26,1.51,5.18
suzuki_random_10_50_50.csv,98.92,0.85,1.08,3.96
suzuki_randomts_1_25_50.csv,96.50,1.83,3.50,7.23
suzuki_randomts_1_50_50.csv,98.25,1.29,1.75,5.67
suzuki_randomts_2_24_50.csv,95.89,1.96,4.11,9.21
suzuki_randomts_2_50_50.csv,98.16,1.46,1.84,6.27
suzuki_randomts_3_24_50.csv,95.55,2.06,4.45,9.43
suzuki_randomts_3_51_50.csv,98.41,1.11,1.59,5.18
suzuki_randomts_4_24_50.csv,95.81,2.32,4.19,10.97
suzuki_randomts_4_48_50.csv,98.27,1.35,1.73,5.67
suzuki_randomts_5_25_50.csv,95.83,2.10,4.17,7.99
suzuki_randomts_5_50_50.csv,98.24,1.70,1.76,5.67
suzuki_randomts_10_50_50.csv,98.56,1.12,1.44,3.96
suzuki_randomtsei_1_25_50.csv,95.68,2.97,4.32,17.93
suzuki_randomtsei_1_50_50.csv,98.67,1.14,1.33,4.94
suzuki_randomtsei_2_24_50.csv,96.98,1.83,3.02,7.30
suzuki_randomtsei_2_50_50.csv,98.67,0.85,1.33,4.03
suzuki_randomtsei_3_24_50.csv,97.14,1.90,2.86,7.18
suzuki_randomtsei_3_51_50.csv,98.67,0.99,1.33,5.36
suzuki_randomtsei_4_24_50.csv,97.57,1.93,2.43,12.76
suzuki_randomtsei_4_48_50.csv,98.76,1.06,1.24,4.15
suzuki_randomtsei_5_25_50.csv,97.29,1.65,2.71,6.22
suzuki_randomtsei_5_50_50.csv,98.72,1.08,1.28,4.66
suzuki_randomtsei_10_50_50.csv,98.71,1.36,1.29,5.43
aryl_amination_random_1_25_50.csv,94.83,6.14,5.17,18.52
aryl_amination_random_1_50_50.csv,99.01,2.44,0.99,16.06
aryl_amination_random_2_24_50.csv,95.47,7.80,4.53,45.75
aryl_amination_random_2_50_50.csv,98.19,3.95,1.81,16.06
aryl_amination_random_3_24_50.csv,95.10,7.75,4.90,45.75
aryl_amination_random_3_51_50.csv,98.71,3.30,1.29,16.90
aryl_amination_random_4_24_50.csv,95.05,5.65,4.95,19.21
aryl_amination_random_4_48_50.csv,98.73,2.73,1.27,16.06
aryl_amination_random_5_25_50.csv,95.47,5.74,4.53,19.42
aryl_amination_random_5_50_50.csv,98.06,4.09,1.94,14.11
aryl_amination_random_10_50_50.csv,98.99,2.31,1.01,14.11
aryl_amination_randomts_1_25_50.csv,91.44,6.96,8.56,24.94
aryl_amination_randomts_1_50_50.csv,97.43,4.55,2.57,19.02
aryl_amination_randomts_2_24_50.csv,91.79,4.66,8.21,19.84
aryl_amination_randomts_2_50_50.csv,98.43,1.72,1.57,6.97
aryl_amination_randomts_3_24_50.csv,93.46,5.12,6.54,24.96
aryl_amination_randomts_3_51_50.csv,98.82,1.91,1.18,11.83
aryl_amination_randomts_4_24_50.csv,91.99,5.52,8.01,20.34
aryl_amination_randomts_4_48_50.csv,90.63,4.09,9.37,19.47
aryl_amination_randomts_5_25_50.csv,93.36,5.25,6.64,25.30
aryl_amination_randomts_5_50_50.csv,98.53,1.80,1.47,8.47
aryl_amination_randomts_10_50_50.csv,98.79,2.04,1.21,14.00
aryl_amination_randomtsei_1_25_50.csv,89.49,8.06,10.51,40.68
aryl_amination_randomtsei_1_50_50.csv,97.84,3.31,2.16,16.06
aryl_amination_randomtsei_2_24_50.csv,95.60,6.51,4.40,26.26
aryl_amination_randomtsei_2_50_50.csv,98.65,2.42,1.35,14.11
aryl_amination_randomtsei_3_24_50.csv,94.30,6.77,5.70,25.25
aryl_amination_randomtsei_3_51_50.csv,98.67,2.38,1.33,14.11
aryl_amination_randomtsei_4_24_50.csv,95.21,5.57,4.79,19.42
aryl_amination_randomtsei_4_48_50.csv,98.92,2.24,1.08,13.40
aryl_amination_randomtsei_5_25_50.csv,93.85,6.81,6.15,18.98
aryl_amination_randomtsei_5_50_50.csv,97.71,4.87,2.29,16.90
aryl_amination_randomtsei_10_50_50.csv,99.40,0.74,0.60,4.61
direct_arylation_random_1_25_50.csv,97.50,5.87,2.50,21.56
direct_arylation_random_1_50_50.csv,99.93,0.47,0.07,3.36
direct_arylation_random_2_24_50.csv,97.09,8.13,2.91,47.80
direct_arylation_random_2_50_50.csv,99.27,2.65,0.73,11.18
direct_arylation_random_3_24_50.csv,97.43,5.14,2.57,20.24
direct_arylation_random_3_51_50.csv,99.98,0.11,0.02,0.78
direct_arylation_random_4_24_50.csv,97.29,5.60,2.71,19.35
direct_arylation_random_4_48_50.csv,99.77,1.53,0.23,10.83
direct_arylation_random_5_25_50.csv,95.85,7.10,4.15,33.10
direct_arylation_random_5_50_50.csv,99.61,1.83,0.39,12.17
direct_arylation_random_10_50_50.csv,99.74,1.64,0.26,11.59
direct_arylation_randomts_1_25_50.csv,92.38,9.31,7.62,42.82
direct_arylation_randomts_1_50_50.csv,98.00,5.59,2.00,33.10
direct_arylation_randomts_2_24_50.csv,88.98,10.36,11.02,43.50
direct_arylation_randomts_2_50_50.csv,96.78,5.04,3.22,15.38
direct_arylation_randomts_3_24_50.csv,91.91,8.74,8.09,41.05
direct_arylation_randomts_3_51_50.csv,98.20,4.56,1.80,19.14
direct_arylation_randomts_4_24_50.csv,93.15,7.80,6.85,32.96
direct_arylation_randomts_4_48_50.csv,98.33,3.77,1.67,10.83
direct_arylation_randomts_5_25_50.csv,93.04,9.11,6.96,42.32
direct_arylation_randomts_5_50_50.csv,98.56,3.40,1.44,11.59
direct_arylation_randomts_10_50_50.csv,98.11,4.32,1.89,16.38
direct_arylation_randomtsei_1_25_50.csv,94.37,7.65,5.63,42.32
direct_arylation_randomtsei_1_50_50.csv,98.47,3.47,1.53,10.83
direct_arylation_randomtsei_2_24_50.csv,92.43,9.79,7.57,45.45
direct_arylation_randomtsei_2_50_50.csv,99.38,2.17,0.62,10.83
direct_arylation_randomtsei_3_24_50.csv,96.13,7.04,3.87,33.10
direct_arylation_randomtsei_3_51_50.csv,99.58,1.88,0.42,10.83
direct_arylation_randomtsei_4_24_50.csv,97.05,6.14,2.95,30.74
direct_arylation_randomtsei_4_48_50.csv,99.88,0.48,0.12,3.36
direct_arylation_randomtsei_5_25_50.csv,95.16,7.62,4.84,30.87
direct_arylation_randomtsei_5_50_50.csv,99.59,2.73,0.41,19.35
direct_arylation_randomtsei_10_50_50.csv,99.27,2.54,0.73,13.86
