seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,yield 6,yield 7,yield 8,yield 9,yield 10,Mean,Min,Max
449093,85.89473594,12.21708819,0,8.104754995,21.9766332,52.3137348,49.15372199,8.073391293,22.54874195,45.87563784,82.84063003,30.31043343,0,82.84063003
627155,93.42111456,22.92734992,50.62222146,12.438351,42.70687587,59.7949718,50.52138402,2.019729051,62.39976577,9.973367678,12.90161423,32.63056308,2.019729051,62.39976577
927570,94.15173815,0.860295656,12.38761085,3.510094374,25.67305216,3.546985039,75.28558302,47.70226953,2.106143629,0,0,17.10720343,0,75.28558302
240450,95.75260589,0,0.723968187,36.47724246,3.724806832,76.22505116,50.58160419,32.99753143,22.62644976,14.7478961,0.628858286,23.87334084,0,76.22505116
229993,98.17713445,31.61725517,61.6695561,32.03830806,7.467378263,59.99235473,9.35930625,75.38356191,16.58042552,37.34827699,21.81045338,35.32668764,7.467378263,75.38356191
721674,98.73132029,57.7087314,90.73131654,39.67142934,38.03832948,55.41075316,1.682541771,49.50904012,77.78682066,36.64285561,83.68183531,53.08636534,1.682541771,90.73131654
808140,98.84920594,32.01377764,43.37501152,37.93567028,3.446957245,8.432863834,66.37274183,86.6996801,36.81475234,17.30024922,2.103607287,33.44953113,2.103607287,86.6996801
926984,98.84920594,61.57150807,46.31398784,52.56128921,58.92871095,41.60266431,12.57405954,0,18.99441923,81.27546311,84.33974431,45.81618466,0,84.33974431
619643,98.84920594,44.04139335,62.35242374,0,86.41541039,42.1300284,52.96278289,73.39202626,2.461539411,19.59428889,26.91242644,41.02623198,0,86.41541039
241988,98.84920594,35.70389569,6.9479336,10.05139356,59.85587044,0,41.72955132,0,52.36462009,23.34747951,42.07740888,27.20781531,0,59.85587044
219476,98.84920594,45.77926691,6.083579291,25.0144043,0.72962294,6.408110436,73.16269955,81.02094948,35.15329281,61.27839379,20.59737033,35.52276898,0.72962294,81.02094948
718927,98.84920594,64.68492451,47.36333704,0,84.85609846,26.30947521,38.46400948,36.0742325,3.378377543,35.15329281,1.666950752,33.79506983,0,84.85609846
113456,99.03446213,12.59161714,0,45.97105208,11.0075153,0,1.224185961,1.742923089,47.94242943,38.14302674,57.83107149,21.64538212,0,57.83107149
957903,99.03446213,52.34346738,11.25218088,19.46778248,0.701552228,0.96264489,38.95047983,38.10999093,47.11942721,83.80386815,28.68684159,32.13982356,0.701552228,83.80386815
57678,99.61910732,37.85579692,0,3.42165598,4.713893798,4.992379236,28.39783953,8.599290828,50.91041247,13.31813914,7.473385241,15.96827931,0,50.91041247
631200,99.61910732,12.30029297,36.80117668,21.50066765,36.89391539,2.570236026,0.595872872,5.908085833,0,0,79.8902752,19.64605226,0,79.8902752
