seed,maximum observed yield
826674,99.99999
332032,99.03446213
332722,99.99999
349864,99.61910732
298920,98.73132029
615479,99.61910732
933600,99.99999
701360,98.84920594
472173,98.84920594
520096,99.61910732
753336,99.99999
700746,98.84920594
902583,99.99999
53953,99.99999
99131,99.61910732
678933,99.99999
445583,99.61910732
185738,99.99999
616461,99.61910732
308549,99.61910732
779741,94.54981251
359883,98.84920594
389941,99.03446213
59452,98.84920594
375356,99.61910732
251486,95.12897845
925973,85.89473594
476824,98.17713445
100412,99.99999
329928,99.61910732
532882,99.61910732
484739,99.61910732
508805,99.61910732
248959,99.61910732
210584,85.89473594
560695,99.61910732
417731,98.84920594
637836,99.61910732
770415,98.84920594
213801,98.73132029
428783,98.84920594
177558,99.61910732
717566,99.99999
837755,99.99999
365294,99.99999
697280,85.89473594
898040,99.99999
540839,99.99999
706163,99.61910732
919987,83.93941968
