seed,maximum observed yield,yield 1,yield 2,yield 3,Mean,Highest,Lowest
131757,54.24578847,45.04099086,35.20060583,19.13281286,33.12480318,45.04099086,19.13281286
516785,83.05466982,34.44632451,41.94054392,69.07936453,48.48874432,69.07936453,34.44632451
45851,83.14947865,49.88008869,29.36083658,0.609947969,26.61695775,49.88008869,0.609947969
81323,83.3036144,2.39840777,40.11142329,41.29698409,27.93560505,41.29698409,2.39840777
798119,83.3036144,18.90594075,14.93339955,38.66523027,24.16819019,38.66523027,14.93339955
97919,83.93941968,9.714563227,36.4250561,41.03794598,29.05918844,41.03794598,9.714563227
471060,83.93941968,79.76639273,27.24737039,44.03844861,50.35073724,79.76639273,27.24737039
688241,93.58777419,0.860295656,7.782359234,1.204026973,3.282227288,7.782359234,0.860295656
616075,93.87454124,14.2414228,33.78601477,23.70536277,23.91093345,33.78601477,14.2414228
35382,94.15173815,53.50463767,2.641901391,71.48272249,42.54308718,71.48272249,2.641901391
710791,94.54981251,7.805738503,56.21933491,0.339942053,21.45500516,56.21933491,0.339942053
289283,94.54981251,3.525705852,0.705225291,38.32865111,14.18652742,38.32865111,0.705225291
764946,94.69105416,22.46669781,21.18588073,0,14.55085951,22.46669781,0
177492,94.69105416,12.48722349,62.40731324,75.28558302,50.06003992,75.28558302,12.48722349
460300,95.38648822,49.74093184,93.87454124,15.10135263,52.90560857,93.87454124,15.10135263
252341,95.67591323,48.41843845,64.13599101,92.89765441,68.48402796,92.89765441,48.41843845
765245,95.75260589,2.601590615,50.62222146,80.80959568,44.67780259,80.80959568,2.601590615
833147,95.75260589,57.6053748,28.11243479,50.20384511,45.30721823,57.6053748,28.11243479
446174,96.13228316,59.7575144,27.06341711,57.84627264,48.22240138,59.7575144,27.06341711
579059,96.13228316,65.31185167,43.47281583,2.663355036,37.14934085,65.31185167,2.663355036
673779,96.13228316,18.1188647,25.45694196,9.147761663,17.57452277,25.45694196,9.147761663
899602,96.13228316,19.78619625,56.41870071,9.714563227,28.63982006,56.41870071,9.714563227
864104,97.29293259,29.83775681,58.26903703,43.69560153,43.93413179,58.26903703,29.83775681
371684,97.56849953,28.72536954,40.36775448,2.615785832,23.90296995,40.36775448,2.615785832
856290,98.17713445,31.17955703,15.00790512,35.9238924,27.37045152,35.9238924,15.00790512
188134,98.28722602,5.49871711,21.44960942,59.29246641,28.74693098,59.29246641,5.49871711
418616,98.84920594,0,59.81582481,0.830867403,20.21556407,59.81582481,0
199258,98.84920594,2.069098233,84.34096533,38.44240466,41.61748941,84.34096533,2.069098233
209051,98.84920594,55.46040564,20.04239857,3.876829723,26.45987798,55.46040564,3.876829723
733363,98.84920594,0.927604534,30.87761179,70.04834525,33.95118719,70.04834525,0.927604534
883895,98.84920594,1.188847918,44.40779423,80.0652435,41.88729522,80.0652435,1.188847918
505649,98.84920594,67.14890203,5.034974824,89.47412112,53.88599932,89.47412112,5.034974824
687573,98.84920594,12.21708819,21.26152094,5.972926182,13.15051177,21.26152094,5.972926182
82331,98.84920594,86.12188158,19.90273024,74.21032846,60.07831343,86.12188158,19.90273024
588138,98.84920594,8.586375019,89.5987779,79.05542624,59.08019305,89.5987779,8.586375019
612872,98.84920594,12.44362591,33.74215602,38.06656269,28.08411487,38.06656269,12.44362591
240288,98.84920594,35.87055638,86.21496371,61.6695561,61.25169206,86.21496371,35.87055638
482285,99.03446213,47.27988184,0.682447226,63.22828466,37.06353791,63.22828466,0.682447226
594730,99.03446213,54.63240731,85.22067267,0,46.61769333,85.22067267,0
475192,99.03446213,6.499222361,1.879419954,6.949971836,5.10953805,6.949971836,1.879419954
462227,99.03446213,80.49152522,79.07623711,25.87549138,61.8144179,80.49152522,25.87549138
865217,99.03446213,0,36.30636065,34.47263315,23.59299793,36.30636065,0
852622,99.61910732,1.785587557,54.77135423,17.80357266,24.78683815,54.77135423,1.785587557
974767,99.61910732,49.17268474,0,22.49487977,23.88918817,49.17268474,0
616310,99.99999,28.58964812,0,9.910073167,12.83324043,28.58964812,0
596697,99.99999,2.475057616,47.09764929,17.38451108,22.31907266,47.09764929,2.475057616
415899,99.99999,2.510510682,37.56535564,46.08846314,28.72144315,46.08846314,2.510510682
322137,99.99999,8.039691846,14.9053934,8.990373152,10.6451528,14.9053934,8.039691846
295876,99.99999,5.821778044,21.86178566,14.43785417,14.04047262,21.86178566,5.821778044
438037,99.99999,85.64532689,47.58772845,13.95905877,49.06403804,85.64532689,13.95905877
