seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,yield 6,yield 7,yield 8,Mean,Min,Max
977715,75.06056887,12.88972347,45.30338681,0,20.05913492,29.62604669,1.896181594,45.50089871,6.131625875,20.17587476,0,45.50089871
206509,75.06056887,0.789038452,1.023181291,8.323184663,1.470956156,24.62070452,63.72449893,3.399446884,12.15190247,14.43786417,0.789038452,63.72449893
276854,82.63071562,22.42347536,3.747141461,69.27632316,44.01604328,50.62222146,0,0,2.732925094,24.10226623,0,69.27632316
594909,82.71053034,50.09944792,81.56943098,53.60304102,55.96431027,79.19714754,37.52076416,13.71916528,82.71053034,56.79797969,13.71916528,82.71053034
151749,85.89473594,17.378304,35.19969401,29.62604669,11.31144666,78.10978605,56.62080434,0,61.05645885,36.16281758,0,78.10978605
602342,85.89473594,49.61017751,6.458217991,31.53029931,45.90521481,13.34689497,17.35437544,0.121773863,14.26125924,22.32352664,0.121773863,49.61017751
82630,92.65898323,0,25.48313253,28.49871025,18.53801466,58.39892185,63.22828466,64.64035682,30.36311877,36.14381744,0,64.64035682
917482,94.15173815,41.14460565,0,12.24697181,12.94497014,4.698019536,28.58196621,41.22664286,23.14452899,20.49846315,0,41.22664286
686916,94.15173815,77.2841534,15.94900479,0.955483806,6.880494813,45.27500965,21.81045338,12.79513925,36.80117668,27.21886447,0.955483806,77.2841534
701468,94.54981251,84.5566149,13.49999802,17.80357266,17.35228888,44.44212826,0,3.462173057,10.4860128,23.95034857,0,84.5566149
975287,94.54981251,50.10376029,70.58038327,14.32160153,44.92520247,62.08187356,12.7214048,5.371995824,6.244420828,33.29383032,5.371995824,70.58038327
252556,94.69105416,5.370036774,46.16924796,34.24307349,85.22067267,50.28665363,40.27887601,0.926720681,31.17670784,36.70899863,0.926720681,85.22067267
229436,94.69105416,6.010382761,67.81850094,45.04873884,71.41375314,0,30.24326754,0.646778821,7.206982067,28.54855051,0,71.41375314
398938,94.87994774,80.58281911,0,49.01650319,1.520182439,2.86790041,63.13467167,30.61272696,0,28.46685047,0,80.58281911
498692,95.38648822,8.916453721,12.48635948,85.53405964,88.44485055,16.7720232,16.85617983,85.65923047,0,39.33364461,0,88.44485055
93157,95.38648822,42.74477554,57.96795904,16.00671459,70.7141131,13.02655322,3.12306153,91.37329051,88.44485055,47.92516476,3.12306153,91.37329051
248770,95.75260589,5.748911263,95.07020116,2.443106533,26.67806508,47.20893463,65.10791868,69.79590237,1.637827855,39.21135845,1.637827855,95.07020116
425765,96.13228316,13.03686492,56.51667394,0.377050084,86.10507439,94.29690562,3.292807267,5.071740985,19.70724871,34.80054574,0.377050084,94.29690562
37290,97.56849953,5.005508734,80.10225068,34.70800352,0.377050084,13.66378067,6.168096918,0,0,17.50308633,0,80.10225068
284798,97.56849953,0.330501293,33.50615076,0.380918213,82.84063003,4.206951598,52.24472601,86.68959994,34.20844443,36.80099028,0.330501293,86.68959994
329482,97.94800557,63.22469221,32.89151252,51.85571731,47.61178197,1.413781414,32.92776022,44.53583158,5.163801227,34.95310981,1.413781414,63.22469221
839659,98.17713445,45.87563784,47.17441756,2.828738971,0.602410789,57.37548977,30.47937114,0.750246803,36.02889558,27.63940106,0.602410789,57.37548977
474089,98.17713445,3.399446884,40.30244069,39.32745332,36.58867026,47.11942721,6.894237827,42.32124218,60.85990802,34.6016033,3.399446884,60.85990802
337913,98.28722602,1.73070141,12.69227905,0.927604534,80.80959568,24.17024028,57.96795904,47.15771685,23.94536549,31.17518279,0.927604534,80.80959568
998720,98.28722602,60.55316321,29.68665622,60.61766338,75.30179851,60.412252,80.39591728,14.03184959,38.85520908,52.48181366,14.03184959,80.39591728
580408,98.84920594,37.38354754,27.47304315,54.89240735,6.141106311,74.97052076,53.5695113,5.628261366,71.82751675,41.48573932,5.628261366,74.97052076
828862,98.84920594,35.19969401,83.33821324,15.41389344,11.31352123,44.07099157,43.182647,69.52780108,37.38354754,42.42878864,11.31352123,83.33821324
828031,98.84920594,83.76441682,63.37225968,7.768371677,0,50.10834683,78.77070783,60.47798465,2.019729051,43.28522707,0,83.76441682
287962,98.84920594,14.36737015,41.80838188,86.07412603,6.684386034,63.0697188,0.256451547,12.74466628,20.85782482,30.73286569,0.256451547,86.07412603
410450,98.84920594,49.9274003,8.62455294,0.970209889,50.13634297,83.76441682,88.30829539,40.45135336,0,40.27282146,0,88.30829539
77205,98.84920594,80.64990682,54.83360857,80.28534176,4.344676685,9.109122278,79.16863895,37.1696242,41.26452613,48.35318067,4.344676685,80.64990682
676659,98.84920594,6.160292213,56.80622374,53.28001638,52.90774845,50.70720641,39.0058585,35.15329281,14.56538038,38.57325236,6.160292213,56.80622374
482210,98.84920594,0,89.32288292,8.970204017,0,2.238996806,0.553507484,4.621114909,0,13.21333827,0,89.32288292
952082,98.84920594,34.0336157,50.57898439,0.94272788,65.92742304,58.32558385,19.99982627,26.7561311,30.87112941,35.92942771,0.94272788,65.92742304
390188,98.84920594,0.970983294,63.25759385,42.70687587,14.2414228,79.06108402,4.972241085,7.343376414,38.79638342,31.41874509,0.970983294,79.06108402
780298,98.84920594,49.01650319,77.03264152,77.78682066,1.379250532,23.70056273,61.6695561,7.021683633,83.93526521,47.69278545,1.379250532,83.93526521
