seed,maximum observed yield
874944,99.61910732
686810,98.73132029
952538,99.61910732
803929,99.61910732
463437,99.61910732
979778,99.61910732
703025,99.61910732
911310,98.84920594
129406,99.61910732
106561,99.61910732
35534,98.84920594
938648,99.61910732
933817,99.61910732
946233,97.56849953
919931,99.61910732
767684,98.84920594
48478,99.99999
662631,99.61910732
249379,99.99999
773038,99.61910732
362459,98.73132029
212063,95.38648822
330648,99.99999
52648,98.17713445
127619,97.56849953
692793,99.99999
32186,88.16754027
628097,98.84920594
698146,95.12897845
702182,99.61910732
32703,99.61910732
90324,99.99999
472226,97.29293259
10005,99.61910732
435552,98.84920594
777214,99.61910732
289120,98.28722602
673268,99.61910732
567129,99.61910732
760949,95.67591323
709959,99.61910732
401873,98.84920594
730680,99.99999
544333,98.28722602
501465,99.61910732
522837,99.61910732
50589,99.61910732
631867,98.73132029
140767,99.99999
424625,98.84920594
