seed,maximum observed yield
279070,93.03255731
26037,99.99999
943713,99.99999
723132,98.84920594
117934,97.29293259
806557,74.75498754
752179,94.54981251
145339,99.99999
451147,99.99999
397387,99.61910732
945096,99.61910732
19315,99.61910732
387772,98.17713445
726685,82.46360414
393109,99.99999
682448,92.72370704
387793,95.12897845
65900,94.29690562
607248,86.49714531
998509,98.73132029
574381,99.61910732
730500,95.07020116
693802,98.84920594
550782,99.99999
803513,84.89551287
305675,94.54981251
942809,98.84920594
719504,83.93941968
669944,99.99999
298680,80.68492948
365308,99.99999
845453,99.03446213
830420,99.99999
31976,97.94800557
620939,83.29437838
544890,83.05466982
853844,92.13719474
694584,98.17713445
498939,93.03255731
918830,99.99999
229192,94.15173815
45223,97.56849953
986082,93.74857618
426706,83.93941968
91939,82.63071562
878958,99.03446213
361563,83.93941968
481588,98.84920594
137581,98.84920594
189436,93.87454124
