seed,maximum observed yield,yield 1,yield 2,yield 3,Mean,Min,Max
216876,98.17713445,0,0.448085745,0.35921569,0.269100478,0,0.448085745
474568,98.84920594,0,0.646778821,0.689951869,0.445576897,0,0.689951869
320664,98.84920594,0,0.682447226,0.750246803,0.477564676,0,0.750246803
782977,99.03446213,0.467733508,0,0.85894734,0.442226949,0,0.85894734
489901,99.03446213,0.707045517,0.701552228,0.620480408,0.676359384,0.620480408,0.707045517
810970,99.03446213,0.330501293,0.723968187,0,0.351489827,0,0.723968187
931957,99.03446213,0.467733508,0.719285108,0,0.395672872,0,0.719285108
104701,99.03446213,0.359225753,0,0.628858286,0.329361346,0,0.628858286
534120,99.03446213,0.344428756,0.682447226,0,0.342291994,0,0.682447226
321903,99.03446213,0.39886034,0,0.419612341,0.272824227,0,0.419612341
213461,99.03446213,0.553317014,0,0,0.184439005,0,0.553317014
379740,99.03446213,0.522267307,0,0.578158424,0.366808577,0,0.578158424
594265,99.61910732,0.705195152,0,0,0.235065051,0,0.705195152
965691,99.61910732,0,0,0,0,0,0
280503,99.61910732,0,0.338169234,0.609947969,0.316039068,0,0.609947969
575663,99.61910732,0,0,0,0,0,0
766650,99.61910732,0,0,0,0,0,0
370310,99.61910732,0,0,0.406585723,0.135528574,0,0.406585723
583178,99.61910732,0,0,0,0,0,0
624067,99.61910732,0,0,0,0,0,0
277008,99.61910732,0.926720681,0,0,0.308906894,0,0.926720681
415548,99.61910732,0,0,0,0,0,0
338145,99.61910732,0.340410651,0,0,0.113470217,0,0.340410651
710575,99.61910732,0,0,0,0,0,0
398242,99.61910732,0,0,0.275668441,0.09188948,0,0.275668441
605433,99.61910732,0,0,0,0,0,0
199160,99.61910732,0,0,0.850358426,0.283452809,0,0.850358426
812786,99.61910732,0,0,0,0,0,0
537424,99.61910732,0,0,0.381599662,0.127199887,0,0.381599662
233380,99.61910732,0,0,0,0,0,0
224789,99.61910732,0,0.707045517,0.628858286,0.445301268,0,0.707045517
163267,99.61910732,0,0,0.51807887,0.172692957,0,0.51807887
770199,99.61910732,0,0.382305168,0.836644888,0.406316685,0,0.836644888
62076,99.61910732,0,0,0,0,0,0
399880,99.61910732,0,0,0,0,0,0
304818,99.61910732,0,0,0,0,0,0
576278,99.61910732,0.426836265,0,0,0.142278755,0,0.426836265
488621,99.61910732,0,0,0,0,0,0
90746,99.61910732,0,0,0,0,0,0
951760,99.61910732,0,0,0,0,0,0
727012,99.61910732,0,0,0.850358426,0.283452809,0,0.850358426
993482,99.61910732,0.926720681,0,0,0.308906894,0,0.926720681
731452,99.61910732,0,0,0.878081853,0.292693951,0,0.878081853
626473,99.99999,0.878081853,0.553507484,0.35921569,0.596935009,0.35921569,0.878081853
719264,99.99999,0.628858286,0,0.380918213,0.336592166,0,0.628858286
90711,99.99999,0.857255308,0.355367929,0,0.404207746,0,0.857255308
557825,99.99999,0.344428756,0.339837285,0,0.22808868,0,0.344428756
432851,99.99999,0,0.855112472,0,0.285037491,0,0.855112472
630652,99.99999,0.490842961,0.553317014,0,0.348053325,0,0.553317014
239095,99.99999,0,0.578158424,0,0.192719475,0,0.578158424
