seed,maximum observed yield
903687,94.87994774
200368,85.53405964
382167,86.12188158
489650,86.19820374
676804,99.99999
745768,82.34937004
256443,92.11972779
858756,99.99999
884870,84.70172213
842894,98.28722602
334506,82.63071562
313048,84.70172213
851411,74.23518284
649761,98.28722602
685705,73.4448659
612455,85.64532689
278050,99.99999
776184,98.28722602
276452,92.90401218
670349,69.38989345
419470,84.70172213
482453,84.70172213
296271,97.94800557
333798,84.5566149
288285,99.03446213
260303,85.89473594
552095,99.61910732
493326,95.38648822
2077,96.13228316
610876,98.84920594
14144,88.72522624
338780,90.73131654
835609,95.75260589
410024,83.14947865
516856,92.25602815
210509,90.73131654
827463,87.93113193
534848,92.95670274
951011,94.29690562
925480,93.74857618
68878,84.70172213
404240,99.03446213
502681,81.29892199
434355,79.07623711
128510,92.89765441
435505,95.38648822
910675,83.37705512
16630,83.05466982
984297,97.94800557
601963,98.28722602
