seed,maximum observed yield
670487,99.61910732
116739,99.61910732
26225,98.73132029
777572,99.61910732
288389,99.99999
256787,98.28722602
234053,99.99999
146316,99.61910732
772246,98.73132029
107473,99.61910732
709570,98.17713445
776646,96.13228316
935518,99.99999
571858,99.61910732
91161,99.99999
619176,99.61910732
442417,99.99999
33326,99.99999
31244,98.84920594
98246,88.35188783
229258,99.03446213
243962,99.61910732
529903,99.61910732
631262,98.84920594
27824,99.99999
588508,98.84920594
208496,99.61910732
750800,97.56849953
681453,99.61910732
735392,99.61910732
571412,98.84920594
439898,99.61910732
231148,99.61910732
471029,98.84920594
617889,99.99999
291704,99.61910732
848749,99.99999
911527,99.61910732
6814,83.93941968
795667,99.61910732
844962,99.99999
167414,85.89473594
732052,95.38648822
443143,99.61910732
356778,99.61910732
291369,98.84920594
163032,99.99999
225772,99.03446213
800581,99.61910732
352944,99.61910732
