seed,maximum observed yield
670487,95.12897845
116739,94.29690562
26225,99.61910732
777572,99.03446213
288389,99.61910732
256787,99.61910732
234053,99.99999
146316,99.99999
772246,99.61910732
107473,99.61910732
709570,99.99999
776646,99.61910732
935518,99.61910732
571858,99.99999
91161,99.99999
619176,99.61910732
442417,99.99999
33326,99.99999
31244,99.99999
98246,93.10117477
229258,99.99999
243962,99.61910732
529903,99.99999
631262,99.99999
27824,99.99999
588508,98.84920594
208496,99.99999
750800,99.99999
681453,99.03446213
735392,94.15173815
571412,99.61910732
439898,99.61910732
231148,98.84920594
471029,99.61910732
617889,99.61910732
291704,99.99999
848749,98.84920594
911527,99.61910732
6814,85.89473594
795667,99.99999
844962,99.99999
167414,99.99999
732052,90.73131654
443143,99.61910732
356778,98.84920594
291369,99.99999
163032,99.99999
225772,98.84920594
800581,99.99999
352944,99.61910732
