seed,maximum observed yield
670487,98.17713445
116739,99.61910732
26225,94.54981251
777572,99.61910732
288389,99.61910732
256787,98.73132029
234053,99.03446213
146316,98.73132029
772246,98.84920594
107473,83.93941968
709570,99.61910732
776646,90.31730943
935518,99.99999
571858,99.03446213
91161,98.84920594
619176,98.84920594
442417,98.17713445
33326,99.99999
31244,99.61910732
98246,99.99999
229258,96.13228316
243962,99.03446213
529903,93.03255731
631262,96.13228316
27824,99.61910732
588508,98.84920594
208496,98.73132029
750800,98.84920594
681453,94.54981251
735392,99.61910732
571412,98.17713445
439898,99.61910732
231148,99.61910732
471029,99.61910732
617889,98.84920594
291704,94.29690562
848749,99.99999
911527,97.29293259
6814,83.29437838
795667,99.99999
844962,99.99999
167414,99.61910732
732052,99.99999
443143,91.6524383
356778,99.99999
291369,95.12897845
163032,95.12897845
225772,99.99999
800581,98.84920594
352944,98.84920594
