seed,maximum observed yield
670487,99.61910732
116739,93.10117477
26225,99.61910732
777572,99.99999
288389,99.61910732
256787,99.03446213
234053,98.84920594
146316,97.56849953
772246,99.03446213
107473,99.99999
709570,99.99999
776646,99.99999
935518,99.61910732
571858,98.17713445
91161,98.17713445
619176,99.03446213
442417,98.17713445
33326,94.69105416
31244,94.87994774
98246,94.69105416
229258,95.38648822
243962,99.61910732
529903,99.99999
631262,99.99999
27824,99.61910732
588508,99.99999
208496,99.61910732
750800,99.61910732
681453,98.84920594
735392,93.74857618
571412,98.84920594
439898,98.84920594
231148,99.61910732
471029,98.73132029
617889,99.61910732
291704,98.17713445
848749,99.99999
911527,94.54981251
6814,99.99999
795667,99.03446213
844962,98.28722602
167414,99.99999
732052,98.73132029
443143,99.61910732
356778,98.84920594
291369,98.28722602
163032,99.61910732
225772,98.84920594
800581,98.28722602
352944,99.61910732
