seed,maximum observed yield
670487,93.58777419
116739,93.56409267
26225,95.75260589
777572,81.47790375
288389,92.13719474
256787,92.39124083
234053,95.75260589
146316,94.87994774
772246,85.26909551
107473,95.67591323
709570,88.30829539
776646,91.26694463
935518,96.59121826
571858,74.61155282
91161,91.69839995
619176,96.59121826
442417,90.73131654
33326,93.87454124
31244,85.64532689
98246,87.52908706
229258,95.67591323
243962,83.3036144
529903,79.07623711
631262,83.83843021
27824,92.35381549
588508,81.22830675
208496,89.419451
750800,91.51096876
681453,97.29293259
735392,88.35188783
571412,87.93113193
439898,93.02887198
231148,95.12897845
471029,89.47412112
617889,93.58777419
291704,89.47412112
848749,89.32288292
911527,86.07412603
6814,94.50096737
795667,83.87445444
844962,93.74857618
167414,98.17713445
732052,91.26694463
443143,88.44637346
356778,92.35381549
291369,93.09950718
163032,94.34623373
225772,93.10117477
800581,93.74857618
352944,86.89971677
