seed,maximum observed yield
670487,88.35188783
116739,85.68357471
26225,91.20970452
777572,95.07020116
288389,95.67591323
256787,83.14947865
234053,99.99999
146316,98.17713445
772246,92.13719474
107473,92.89765441
709570,92.35381549
776646,83.68183531
935518,93.31083413
571858,90.99050642
91161,84.33974431
619176,92.12702212
442417,93.31083413
33326,91.26694463
31244,85.99469652
98246,84.60201966
229258,92.12702212
243962,92.90401218
529903,89.89767813
631262,95.75260589
27824,92.12702212
588508,91.51096876
208496,86.32465757
750800,82.71053034
681453,99.61910732
735392,94.69105416
571412,89.32312927
439898,83.82528245
231148,93.87454124
471029,87.75322874
617889,96.13228316
291704,94.14846732
848749,98.17713445
911527,95.38648822
6814,89.55924552
795667,97.94800557
844962,91.26694463
167414,94.87994774
732052,87.90201497
443143,92.89765441
356778,98.84920594
291369,92.91423383
163032,94.15173815
225772,95.55515456
800581,97.29293259
352944,92.65898323
