seed,maximum observed yield
289777,88.41
381675,100.0
194705,100.0
346230,100.0
760731,100.0
587872,90.39
5402,100.0
405759,92.03
493273,100.0
678815,100.0
245303,89.17
301396,100.0
233631,99.98
17705,100.0
536045,100.0
499362,99.22
295860,99.81
950154,100.0
424108,100.0
720262,91.27
574383,100.0
680690,100.0
176674,100.0
906595,100.0
203838,100.0
560522,99.98
423670,99.98
134936,100.0
65045,100.0
272000,100.0
728790,89.17
538923,100.0
121049,99.98
959525,88.41
519278,100.0
689204,100.0
895624,89.17
200723,100.0
614354,99.98
405082,99.81
240352,100.0
846013,100.0
717585,100.0
523858,100.0
260173,100.0
164170,100.0
499642,100.0
19890,100.0
344478,100.0
597289,100.0
