seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,yield 6,yield 7,yield 8,yield 9,yield 10,Mean,Min,Max
239080,96.64,0,14.24,30.15,20.67,35.91,57.27,38.03,0,0,69.11,26.538,0,69.11
176146,99.22,10.46,44.96,0,0,82.13,0.24,4.66,59.92,20.87,10.05,23.329,0,82.13
955578,99.22,0,3,14.51,4.15,0,22.22,62.82,2.72,0,25.67,13.509,0,62.82
283997,99.81,22.22,17.93,3.96,9.96,3.55,0,14.83,5.16,21.88,0,9.949,0,22.22
480102,99.81,0,30.41,0,16.44,67.17,80.39,14.36,10.98,1.12,38.53,25.94,0,80.39
301590,99.98,13.19,0,0,26.88,1.12,0,45.01,62.75,0,1.23,15.018,0,62.75
464856,99.98,0.76,17.26,65.32,8.89,12.91,26.69,40.02,36.23,5.65,0,21.373,0,65.32
196276,99.98,1.23,59.92,37.71,7.84,8.85,0,18.9,2.78,61.33,0,19.856,0,61.33
736922,99.98,22.02,0,75.22,6.98,0,43.22,0,24.56,22.92,28.65,22.357,0,75.22
301598,99.98,1.94,0,83.22,0,0,0,15.42,24.11,0.28,51.37,17.634,0,83.22
323192,99.98,0,2.21,0,36.14,0,0,53.81,2.53,80.77,8.72,18.418,0,80.77
345443,100,14.75,16.76,16.04,5.68,7.84,53.11,62.07,0,43.12,76.66,29.603,0,76.66
80282,100,4.48,10.39,0,48.21,0,81.66,66.9,33.97,9.59,0,25.52,0,81.66
128095,100,0,28.15,89.95,66.9,2.11,0,6.87,31.29,87.59,0,31.286,0,89.95
280087,100,91.39,0,0,20.35,13.89,30.21,2.83,0,52.23,4.22,21.512,0,91.39
65315,100,21.86,0,8.3,55.17,81.63,24.03,0,46.42,0,40.76,27.817,0,81.63
867266,100,3.4,0.01,60.68,36.7,12.65,0,33.69,0,0.91,0.25,14.829,0,60.68
796686,100,9.39,0,1.95,0,71.43,8.4,23.45,2.77,0.83,99.22,21.744,0,99.22
930804,100,4.78,6.22,3.69,5.6,1.26,0,0,4.3,3.04,29.45,5.834,0,29.45
472206,100,70.8,0,14.97,62.34,0,0,2.98,1.27,47.3,0.6,20.026,0,70.8
891849,100,21.25,20.6,0,0,69.03,16.47,0,0,84.64,0,21.199,0,84.64
748059,100,8.93,0,21.88,78.6,45.01,10.04,0,13.13,84.17,23.05,28.481,0,84.17
345364,100,0,64.12,4.3,10.39,0,0,1.96,0,0,38.65,11.942,0,64.12
824426,100,0,0,6.51,2.21,91.27,0,4.51,2.81,38.15,7.62,15.308,0,91.27
107710,100,9.59,24.25,8.06,0,18.61,11.95,52.47,27.41,7.34,0.14,15.982,0,52.47
558290,100,0,6.69,32.37,52.05,38.65,0,19.97,11,0,70.26,23.099,0,70.26
868405,100,0,36.9,4.85,0.15,4.51,0,32.5,55.7,11.19,23.22,16.902,0,55.7
992191,100,35.6,71.43,0,96.64,0,61.09,62.6,26.28,5.91,0,35.955,0,96.64
27193,100,63.13,24.25,82.28,0,81.63,0,0,80.38,76.59,11.19,41.945,0,82.28
180750,100,0,0,41.64,0,82.21,7.15,46.57,2.77,0,0.51,18.085,0,82.21
90022,100,0.83,11.91,0,12.34,80.69,10.68,29.51,26.29,16.82,0,18.907,0,80.69
911869,100,40.06,0,18.42,35.64,29.16,25,1.06,67.17,4.3,52.05,27.286,0,67.17
871690,100,0,0,0,0,11.95,1.27,31.14,0,27.16,4.77,7.629,0,31.14
812716,100,2.04,0,45.01,37.93,4.51,3.67,23.8,0,0.55,10.93,12.844,0,45.01
402366,100,38.48,0,82.21,14.24,29.14,47.33,3.88,0,0,2.45,21.773,0,82.21
999492,100,6.78,20.08,0,0,29.31,10.46,0,16.44,61.33,47.3,19.17,0,61.33
730743,100,0,0,45.17,3,76.68,0,0,0,9.72,22.22,15.679,0,76.68
556435,100,82.28,0,0.58,26.5,10.46,0,8.04,84.03,0,56.5,26.839,0,84.03
586779,100,9.6,0,3.57,0,50.75,73.33,39.86,9.03,38.12,8.89,23.315,0,73.33
610357,100,0,0,0,0,0,0.04,0,0,5.9,5.4,1.134,0,5.9
195012,100,4.78,6,21.65,63.13,15.64,11.69,8.45,52.56,32.43,8.16,22.449,4.78,63.13
928744,100,11.64,96.38,0,0,88.41,84.17,51.99,33.34,2.29,26.74,39.496,0,96.38
521989,100,53.52,2.41,7.88,27.8,75.46,0,69.11,0,0.95,41,27.813,0,75.46
451356,100,0,2.49,7.26,23.83,46.53,22.75,55.17,58.48,0,0,21.651,0,58.48
958423,100,0,52.77,0,0,9.59,4.3,8.88,0.26,0,8.23,8.403,0,52.77
209711,100,0,0,2.85,40.61,0,1.94,3.88,82.21,18.38,57.33,20.72,0,82.21
528431,100,36.7,0,0,11.3,17.9,0,9.72,28.64,23.22,12.07,13.955,0,36.7
132697,100,0,3.55,22.3,37.37,19.64,0,21.34,5.48,0,14.97,12.465,0,37.37
503857,100,51.32,45.17,29.96,38.44,23.22,0,13.71,0,23.51,0,22.533,0,51.32
167774,100,5.16,26.97,74.3,0,0,0,12.12,0,0,0,11.855,0,74.3
