seed,maximum observed yield,yield 1,yield 2,yield 3,Mean,Min,Max
543934,79.76,0,16.09,0,5.363333333,0,16.09
478066,80.39,12.83,6.88,39.81,19.84,6.88,39.81
778222,86.14,59.92,0,6.77,22.23,0,59.92
371471,88.41,0,0,43.76,14.58666667,0,43.76
510145,89.14,73.59,0,72.24,48.61,0,73.59
983083,89.17,0,5.88,64.62,23.5,0,64.62
378990,89.17,0,21.74,0,7.246666667,0,21.74
907218,89.17,50.93,10.44,0,20.45666667,0,50.93
548483,96.64,6.4,0,3.04,3.146666667,0,6.4
927816,96.64,18.16,0,2.65,6.936666667,0,18.16
836459,98.38,17.54,62.15,15.72,31.80333333,15.72,62.15
212255,98.38,0,5.4,0,1.8,0,5.4
508074,98.38,2.82,68.71,14.36,28.63,2.82,68.71
752357,98.38,85.24,16.76,12.19,38.06333333,12.19,85.24
925279,99.22,10.04,18.16,0.7,9.633333333,0.7,18.16
193649,99.22,0,0,0,0,0,0
737048,99.22,0,9.79,62.6,24.13,0,62.6
695539,99.22,7.25,17.16,44.4,22.93666667,7.25,44.4
795175,99.22,14.24,28.15,4.92,15.77,4.92,28.15
514483,99.22,0,39.39,24.02,21.13666667,0,39.39
89616,99.81,0,5.19,58.13,21.10666667,0,58.13
744238,99.81,30.21,1.92,12.98,15.03666667,1.92,30.21
253078,99.81,66.49,13.19,8.31,29.33,8.31,66.49
249878,99.81,41.35,1.62,1.96,14.97666667,1.62,41.35
398903,99.81,0,21.25,0,7.083333333,0,21.25
721665,99.81,84.67,29.14,39.32,51.04333333,29.14,84.67
148396,99.81,0,36.66,0,12.22,0,36.66
547244,99.81,14.36,0,14.97,9.776666667,0,14.97
446037,99.81,37.73,0,0,12.57666667,0,37.73
184398,99.81,11.95,0,0,3.983333333,0,11.95
539694,99.98,44.28,11.99,0,18.75666667,0,44.28
639450,99.98,1.95,21.94,36.23,20.04,1.95,36.23
197007,99.98,0,13.46,23.5,12.32,0,23.5
9145,99.98,26.88,55.41,0,27.43,0,55.41
943119,99.98,2.77,0,25.45,9.406666667,0,25.45
200903,99.98,0.58,9.1,4.78,4.82,0.58,9.1
668436,99.98,30.29,70.51,9.89,36.89666667,9.89,70.51
436041,99.98,0,9.55,0,3.183333333,0,9.55
13633,99.98,0,0,0.01,0.003333333,0,0.01
371551,99.98,4.23,47.03,36.98,29.41333333,4.23,47.03
258400,99.98,8.31,45.85,10.46,21.54,8.31,45.85
915309,99.98,0,0,7.71,2.57,0,7.71
981729,99.98,27.79,57.85,0,28.54666667,0,57.85
988956,99.98,4.3,34.6,3.04,13.98,3.04,34.6
850304,100,45.01,0.51,12.61,19.37666667,0.51,45.01
680931,100,6.42,0,6.1,4.173333333,0,6.42
886350,100,0,59.68,21.88,27.18666667,0,59.68
101141,100,0,13.41,58.4,23.93666667,0,58.4
199452,100,3.33,16.76,28.53,16.20666667,3.33,28.53
668041,100,50.69,0,0,16.89666667,0,50.69
