seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,Mean,Min,Max
732726,87.83,0.55,0,0,8.95,2.98,2.496,0,8.95
927734,96.64,14.92,0,0,1.52,0,3.288,0,14.92
129736,96.64,0,14.29,37.38,7.36,0,11.806,0,37.38
68933,99.81,0,0,80.77,0,12.23,18.6,0,80.77
865477,99.81,5.67,47.33,48.86,0,11.83,22.738,0,48.86
251890,99.98,29.96,2.79,0,0.22,0,6.594,0,29.96
203009,99.98,54.07,89.17,16.91,12.61,0,34.552,0,89.17
770323,99.98,0,3.33,2.77,82.21,69.26,31.514,0,82.21
327026,100,0,0.91,0.25,45.01,0,9.234,0,45.01
603310,100,11.91,62.07,0.26,48.15,0,24.478,0,62.07
901029,100,49.48,2.81,88.89,0,86.46,45.528,0,88.89
645345,100,5.5,0,3.78,21.77,71.43,20.496,0,71.43
855435,100,12.07,23.23,65.32,51.83,3.6,31.21,3.6,65.32
239161,100,73.71,45.11,8.39,0,3.77,26.196,0,73.71
623230,100,0,5.38,0,28.11,3.04,7.306,0,28.11
779406,100,0,0,2.21,0,13.33,3.108,0,13.33
758675,100,0,0,4.2,17,4.23,5.086,0,17
675816,100,16.76,15.42,9.52,4.48,28.11,14.858,4.48,28.11
921736,100,10.25,0,18.59,0,0,5.768,0,18.59
442338,100,1.94,39.81,0,37.4,12.44,18.318,0,39.81
540270,100,2.72,0,0,61.33,41.69,21.148,0,61.33
327477,100,0,0,3.7,0,40.03,8.746,0,40.03
245962,100,37.93,0,73.08,0,0,22.202,0,73.08
49185,100,3.04,78.44,59.82,0,3.7,29,0,78.44
216119,100,17.63,14.72,20.21,10.98,36.23,19.954,10.98,36.23
45336,100,28.06,23.77,0,60.48,6.26,23.714,0,60.48
920051,100,10.51,87.83,3.02,11,0,22.472,0,87.83
780254,100,16.46,65.37,0,10.98,5.9,19.742,0,65.37
565107,100,74.3,12.23,73.33,5.62,67.21,46.538,5.62,74.3
209396,100,6.48,0,14.92,0.57,5.06,5.406,0,14.92
828884,100,5.88,3.38,31.38,18.38,16.91,15.186,3.38,31.38
440904,100,19.97,4.06,86.46,14.73,0,25.044,0,86.46
198091,100,0,0,3.04,0,26.88,5.984,0,26.88
288822,100,2.49,62.04,41.1,19.82,0,25.09,0,62.04
288212,100,26.56,3.69,21.15,4.74,6.69,12.566,3.69,26.56
246520,100,0,72.89,31.85,4.66,0,21.88,0,72.89
298000,100,0,1.41,0,7.12,18.22,5.35,0,18.22
409521,100,26.12,4.02,7.74,100,40.02,35.58,4.02,100
480370,100,5.91,36.65,96.64,0,13.87,30.614,0,96.64
440803,100,0,3.77,29.57,0,30.29,12.726,0,30.29
939830,100,1.8,21.65,0,0,3.6,5.41,0,21.65
330958,100,0,2.77,19.28,55.96,5.13,16.628,0,55.96
362873,100,76.63,1.9,22.3,0,0,20.166,0,76.63
493178,100,0,84.48,0,26.64,11.95,24.614,0,84.48
333823,100,54.83,0,18.42,27.16,73.71,34.824,0,73.71
33721,100,18.42,45.37,11.91,0,0.98,15.336,0,45.37
834762,100,20.73,36.96,18.59,3.79,39.2,23.854,3.79,39.2
138393,100,0,5.13,72.21,50.55,0,25.578,0,72.21
614369,100,0,0,12.07,3.77,0,3.168,0,12.07
39663,100,7.25,78.6,0,33.34,67.17,37.272,0,78.6
