seed,maximum observed yield
340711,100.0
175296,89.17
759487,80.39
103459,100.0
60142,89.17
221907,57.18
444063,100.0
552606,99.81
541757,99.81
255379,99.81
124238,99.81
813903,89.14
886487,92.19
818598,99.81
367626,89.17
390967,88.89
700473,88.41
961155,86.43
172378,89.14
84117,100.0
688033,76.63
919419,88.41
923332,88.89
894563,100.0
496735,99.22
895258,91.06
456815,98.38
358799,99.81
963282,99.22
649689,84.62
118255,99.81
681879,100.0
879920,82.28
30622,96.64
107221,100.0
352892,100.0
32943,99.22
126467,99.22
31344,98.38
533061,91.06
104592,100.0
976677,62.04
83015,96.64
447025,89.71
49463,86.14
596536,88.41
631472,99.98
85633,90.39
587449,87.83
223411,86.46
