seed,maximum observed yield
681582,100.0
611305,100.0
498472,99.81
638021,99.81
144317,100.0
766064,100.0
229796,100.0
916509,100.0
580403,100.0
811413,100.0
895419,100.0
424760,100.0
940091,99.98
934402,100.0
854667,100.0
321830,100.0
298867,100.0
189319,99.98
330025,100.0
168267,100.0
8528,99.98
665740,99.81
379545,99.81
196564,100.0
93262,99.81
510898,100.0
293665,89.17
952170,100.0
625216,100.0
686131,100.0
26398,100.0
290143,100.0
699488,99.81
990609,100.0
535055,100.0
876652,100.0
625282,100.0
786570,100.0
731905,99.98
807758,100.0
600650,100.0
472085,100.0
107198,99.22
740466,99.98
430013,92.03
43526,99.98
280143,100.0
268749,100.0
82813,100.0
846496,100.0
